Polluant: Nombre d'heures avec dépassements de la valeur limite d'ozone (>120 µg/m³) (O3 >120)
Nombre d'heures par an
Unité: h
Source: NABEL
Date/heure;Bern-Bollwerk;Lausanne-César-Roux;Lugano-Università;Zürich-Kaserne;Basel-Binningen;Dübendorf-Empa;Härkingen-A1;Sion-Aéroport-A9;Magadino-Cadenazzo;Payerne;Tänikon;Beromünster;Chaumont;Rigi-Seebodenalp;Davos-Seehornwald;Jungfraujoch
2000;53;32;619;269;311;223;134;140;524;334;353;0;674;791;23;13
2001;56;76;514;220;329;311;146;113;481;353;353;0;840;766;48;8
2002;47;50;622;249;287;318;121;141;526;324;355;0;778;785;33;8
2003;141;238;1170;647;759;729;436;389;1007;790;742;0;1811;1779;322;43
2004;47;45;722;216;313;342;161;179;583;305;349;0;783;746;40;23
2005;51;48;710;268;301;295;124;194;570;336;298;0;793;720;29;6
2006;79;99;805;372;379;425;228;238;643;391;405;0;816;811;140;29
2007;26;15;799;253;260;301;161;101;601;233;287;0;649;596;49;6
2008;21;36;533;192;196;221;118;120;413;188;242;0;413;422;43;8
2009;11;25;647;160;224;221;98;100;428;230;205;0;471;442;15;2
2010;102;97;647;290;320;302;167;168;525;336;308;0;666;590;70;13
2011;62;67;679;250;278;255;110;169;533;272;241;0;604;554;27;11
2012;18;61;658;189;158;205;79;90;428;178;182;0;379;384;1;7
2013;49;88;698;305;293;333;185;107;491;298;298;0;620;572;7;49
2014;7;28;362;160;203;182;104;51;254;147;152;0;328;285;0;4
2015;109;46;794;341;380;407;224;232;586;389;407;0;761;783;50;19
2016;24;19;547;182;211;207;96;92;358;143;162;256;441;364;4;28
2017;21;11;743;208;217;225;70;106;520;155;229;314;336;351;1;11
2018;125;129;799;509;503;499;299;193;566;412;481;796;853;890;22;48
2019;101;79;652;308;328;330;182;126;449;253;282;486;634;620;22;3
2020;47;47;621;242;339;252;121;20;336;171;228;349;471;377;0;0
2021;23;11;462;140;134;128;81;18;274;114;125;224;255;186;0;0
