00AG               20211201                                                                                   
0601AGA0N       20220101000000100000025000 0000000020000000   
0601AGA0N       20220101000025100000005000 0000000020000000   
0601AGA0N       20220101000030100000005000 0000000020000000   
0601AGA0N       20220101000035100000005000 0000000020000000   
0601AGA0N       20220101000040100000005000 0000000020000000   
0601AGA0N       20220101000045100000005000 0000000020000000   
0601AGA0N       20220101000050100000005000 0000000020000000   
0601AGA0N       20220101000055100000005000 0000000020000000   
0601AGA0N       20220101000060100000005000 0000000020000000   
0601AGA0N       20220101000065100000005000 0000000020000000   
0601AGA0N       20220101000070100000005000 0000000020000000   
0601AGA0N       20220101000075100000005000 0000000020000000   
0601AGA0N       20220101000080100000005000 0000000020000000   
0601AGA0N       20220101000085100000005000 0000000020000000   
0601AGA0N       20220101000090100000005000 0000000020000000   
0601AGA0N       20220101000095100000005000 0000000020000000   
0601AGA0N       20220101000100100000005000 0000000020000000   
0601AGA0N       20220101000105100000005000 0000000020000000   
0601AGA0N       20220101000110100000005000 0000000020000000   
0601AGA0N       20220101000115100000005000 0000000020000000   
0601AGA0N       20220101000120100000005000 0000000020000000   
0601AGA0N       20220101000125100000005000 0000000020000000   
0601AGA0N       20220101000130100000005000 0000000020000000   
0601AGA0N       20220101000135100000005000 0000000020000000   
0601AGA0N       20220101000140100000005000 0000000020000000   
0601AGA0N       20220101000145100000005000 0000000020000000   
0601AGA0N       20220101000150100000005000 0000000020000000   
0601AGA0N       20220101000155100000005000 0000000020000000   
0601AGA0N       20220101000160100000005000 0000000020000000   
0601AGA0N       20220101000165100000005000 0000000020000000   
0601AGA0N       20220101000170100000005000 0000000020000000   
0601AGA0N       20220101000175100000005000 0000000020000000   
0601AGA0N       20220101000180100000005000 0000000020000000   
0601AGA0N       20220101000185100000005000 0000000020000000   
0601AGA0N       20220101000190100000005000 0000000020000000   
0601AGA0N       20220101000195100000005000 0000000020000000   
0601AGA0N       20220101000200100000005000 0000000020000040   
0601AGA0N       20220101000205100000005000 0000000020000050   
0601AGA0N       20220101000210100000005000 0000000020000060   
0601AGA0N       20220101000215100000005000 0000000020000060   
0601AGA0N       20220101000220100000005000 0000000020000070   
0601AGA0N       20220101000225100000005000 0000000020000070   
0601AGA0N       20220101000230100000005000 0000000020000080   
0601AGA0N       20220101000235100000005000 0000000020000090   
0601AGA0N       20220101000240100000005000 0000000020000100   
0601AGA0N       20220101000245100000005000 0000000020000110   
0601AGA0N       20220101000250100000005000 0000000020000120   
0601AGA0N       20220101000255100000005000 0000000020000240   
0601AGA0N       20220101000260100000005000 0000000020000240   
0601AGA0N       20220101000265100000005000 0000000020000250   
0601AGA0N       20220101000270100000005000 0000000020000260   
0601AGA0N       20220101000275100000005000 0000000020000270   
0601AGA0N       20220101000280100000005000 0000000020000280   
0601AGA0N       20220101000285100000005000 0000000020000290   
0601AGA0N       20220101000290100000005000 0000000020000300   
0601AGA0N       20220101000295100000005000 0000000020000310   
0601AGA0N       20220101000300100000005000 0000000020000320   
0601AGA0N       20220101000305100000005000 0000000020000330   
0601AGA0N       20220101000310100000005000 0000000020000360   
0601AGA0N       20220101000315100000005000 0000000020000370   
0601AGA0N       20220101000320100000005000 0000000020000380   
0601AGA0N       20220101000325100000005000 0000000020000390   
0601AGA0N       20220101000330100000005000 0000000020000400   
0601AGA0N       20220101000335100000005000 0000000020000410   
0601AGA0N       20220101000340100000005000 0000000020000420   
0601AGA0N       20220101000345100000005000 0000000020000430   
0601AGA0N       20220101000350100000005000 0000000020000440   
0601AGA0N       20220101000355100000005000 0000000020000450   
0601AGA0N       20220101000360100000005000 0000000020000450   
0601AGA0N       20220101000365100000005000 0000000020000490   
0601AGA0N       20220101000370100000005000 0000000020000500   
0601AGA0N       20220101000375100000005000 0000000020000510   
0601AGA0N       20220101000380100000005000 0000000020000510   
0601AGA0N       20220101000385100000005000 0000000020000520   
0601AGA0N       20220101000390100000005000 0000000020000530   
0601AGA0N       20220101000395100000005000 0000000020000540   
0601AGA0N       20220101000400100000005000 0000000020000540   
0601AGA0N       20220101000405100000005000 0000000020000550   
0601AGA0N       20220101000410100000005000 0000000020000560   
0601AGA0N       20220101000415100000005000 0000000020000570   
0601AGA0N       20220101000420100000005000 0000000020000580   
0601AGA0N       20220101000425100000005000 0000000020000620   
0601AGA0N       20220101000430100000005000 0000000020000620   
0601AGA0N       20220101000435100000005000 0000000020000630   
0601AGA0N       20220101000440100000005000 0000000020000630   
0601AGA0N       20220101000445100000005000 0000000020000640   
0601AGA0N       20220101000450100000005000 0000000020000650   
0601AGA0N       20220101000455100000005000 0000000020000660   
0601AGA0N       20220101000460100000005000 0000000020000660   
0601AGA0N       20220101000465100000005000 0000000020000670   
0601AGA0N       20220101000470100000005000 0000000020000670   
0601AGA0N       20220101000475100000005000 0000000020000680   
0601AGA0N       20220101000480100000005000 0000000020000690   
0601AGA0N       20220101000485100000005000 0000000020000700   
0601AGA0N       20220101000490100000005000 0000000020000710   
0601AGA0N       20220101000495100000005000 0000000020000720   
0601AGA0N       20220101000500100000005000 0000000020000730   
0601AGA0N       20220101000505100000005000 0000000020000730   
0601AGA0N       20220101000510100000005000 0000000020000740   
0601AGA0N       20220101000515100000005000 0000000020000750   
0601AGA0N       20220101000520100000005000 0000000020000760   
0601AGA0N       20220101000525100000005000 0000000020000770   
0601AGA0N       20220101000530100000005000 0000000020000770   
0601AGA0N       20220101000535100000005000 0000000020000780   
0601AGA0N       20220101000540100000005000 0000000020000790   
0601AGA0N       20220101000545100000005000 0000000020000790   
0601AGA0N       20220101000550100000005000 0000000020000800   
0601AGA0N       20220101000555100000005000 0000000020000810   
0601AGA0N       20220101000560100000005000 0000000020000820   
0601AGA0N       20220101000565100000005000 0000000020000830   
0601AGA0N       20220101000570100000005000 0000000020000830   
0601AGA0N       20220101000575100000005000 0000000020000840   
0601AGA0N       20220101000580100000005000 0000000020000850   
0601AGA0N       20220101000585100000005000 0000000020000860   
0601AGA0N       20220101000590100000005000 0000000020000870   
0601AGA0N       20220101000595100000005000 0000000020000880   
0601AGA0N       20220101000600100000005000 0000000020000880   
0601AGA0N       20220101000605100000005000 0000000020000890   
0601AGA0N       20220101000610100000005000 0000000020000900   
0601AGA0N       20220101000615100000005000 0000000020000910   
0601AGA0N       20220101000620100000005000 0000000020000920   
0601AGA0N       20220101000625100000005000 0000000020000920   
0601AGA0N       20220101000630100000005000 0000000020000930   
0601AGA0N       20220101000635100000005000 0000000020000940   
0601AGA0N       20220101000640100000005000 0000000020000950   
0601AGA0N       20220101000645100000005000 0000000020000950   
0601AGA0N       20220101000650100000005000 0000000020000960   
0601AGA0N       20220101000655100000005000 0000000020000970   
0601AGA0N       20220101000660100000005000 0000000020000970   
0601AGA0N       20220101000665100000005000 0000000020000980   
0601AGA0N       20220101000670100000005000 0000000020000990   
0601AGA0N       20220101000675100000005000 0000000020000990   
0601AGA0N       20220101000680100000005000 0000000020001000   
0601AGA0N       20220101000685100000005000 0000000020001010   
0601AGA0N       20220101000690100000005000 0000000020001010   
0601AGA0N       20220101000695100000005000 0000000020001020   
0601AGA0N       20220101000700100000005000 0000000020001030   
0601AGA0N       20220101000705100000005000 0000000020001030   
0601AGA0N       20220101000710100000005000 0000000020001040   
0601AGA0N       20220101000715100000005000 0000000020001050   
0601AGA0N       20220101000720100000005000 0000000020001050   
0601AGA0N       20220101000725100000005000 0000000020001060   
0601AGA0N       20220101000730100000005000 0000000020001070   
0601AGA0N       20220101000735100000005000 0000000020001070   
0601AGA0N       20220101000740100000005000 0000000020001080   
0601AGA0N       20220101000745100000005000 0000000020001080   
0601AGA0N       20220101000750100000005000 0000000020001090   
0601AGA0N       20220101000755100000005000 0000000020001100   
0601AGA0N       20220101000760100000005000 0000000020001100   
0601AGA0N       20220101000765100000005000 0000000020001110   
0601AGA0N       20220101000770100000005000 0000000020001110   
0601AGA0N       20220101000775100000005000 0000000020001120   
0601AGA0N       20220101000780100000005000 0000000020001130   
0601AGA0N       20220101000785100000005000 0000000020001130   
0601AGA0N       20220101000790100000005000 0000000020001140   
0601AGA0N       20220101000795100000005000 0000000020001150   
0601AGA0N       20220101000800100000005000 0000000020001150   
0601AGA0N       20220101000805100000005000 0000000020001160   
0601AGA0N       20220101000810100000005000 0000000020001170   
0601AGA0N       20220101000815100000005000 0000000020001180   
0601AGA0N       20220101000820100000005000 0000000020001180   
0601AGA0N       20220101000825100000005000 0000000020001190   
0601AGA0N       20220101000830100000005000 0000000020001200   
0601AGA0N       20220101000835100000005000 0000000020001200   
0601AGA0N       20220101000840100000005000 0000000020001210   
0601AGA0N       20220101000845100000005000 0000000020001220   
0601AGA0N       20220101000850100000005000 0000000020001230   
0601AGA0N       20220101000855100000005000 0000000020001230   
0601AGA0N       20220101000860100000005000 0000000020001240   
0601AGA0N       20220101000865100000005000 0000000020001240   
0601AGA0N       20220101000870100000005000 0000000020001250   
0601AGA0N       20220101000875100000005000 0000000020001260   
0601AGA0N       20220101000880100000005000 0000000020001260   
0601AGA0N       20220101000885100000005000 0000000020001270   
0601AGA0N       20220101000890100000005000 0000000020001270   
0601AGA0N       20220101000895100000005000 0000000020001280   
0601AGA0N       20220101000900100000005000 0000000020001290   
0601AGA0N       20220101000905100000005000 0000000020001290   
0601AGA0N       20220101000910100000005000 0000000020001300   
0601AGA0N       20220101000915100000005000 0000000020001300   
0601AGA0N       20220101000920100000005000 0000000020001310   
0601AGA0N       20220101000925100000005000 0000000020001320   
0601AGA0N       20220101000930100000005000 0000000020001320   
0601AGA0N       20220101000935100000005000 0000000020001330   
0601AGA0N       20220101000940100000005000 0000000020001330   
0601AGA0N       20220101000945100000005000 0000000020001340   
0601AGA0N       20220101000950100000005000 0000000020001340   
0601AGA0N       20220101000955100000005000 0000000020001350   
0601AGA0N       20220101000960100000005000 0000000020001350   
0601AGA0N       20220101000965100000005000 0000000020001360   
0601AGA0N       20220101000970100000005000 0000000020001360   
0601AGA0N       20220101000975100000005000 0000000020001370   
0601AGA0N       20220101000980100000005000 0000000020001370   
0601AGA0N       20220101000985100000005000 0000000020001380   
0601AGA0N       20220101000990100000005000 0000000020001380   
0601AGA0N       20220101000995100000005000 0000000020001390   
0601AGA0N       20220101001000100000050000 0000000020001420   
0601AGA0N       20220101001050100000050000 0000000020001460   
0601AGA0N       20220101001100100000050000 0000000020001510   
0601AGA0N       20220101001150100000050000 0000000020001560   
0601AGA0N       20220101001200100000050000 0000000020001600   
0601AGA0N       20220101001250100000050000 0000000020001650   
0601AGA0N       20220101001300100000050000 0000000020001690   
0601AGA0N       20220101001350100000050000 0000000020001720   
0601AGA0N       20220101001400100000050000 0000000020001770   
0601AGA0N       20220101001450100000050000 0000000020001800   
0601AGA0N       20220101001500100000050000 0000000020001840   
0601AGA0N       20220101001550100000050000 0000000020001870   
0601AGA0N       20220101001600100000050000 0000000020001900   
0601AGA0N       20220101001650100000050000 0000000020001940   
0601AGA0N       20220101001700100000050000 0000000020001960   
0601AGA0N       20220101001750100000050000 0000000020001990   
0601AGA0N       20220101001800100000050000 0000000020002030   
0601AGA0N       20220101001850100000050000 0000000020002060   
0601AGA0N       20220101001900100000050000 0000000020002090   
