00AI               20211129                                                                                   
0601AIA0N       20220101000000100000020000 0000000000000000   
0601AIA0N       20220101000020100000005000 0000000000000000   
0601AIA0N       20220101000025100000005000 0000000000000000   
0601AIA0N       20220101000030100000005000 0000000000000000   
0601AIA0N       20220101000035100000005000 0000000000000000   
0601AIA0N       20220101000040100000005000 0000000000000000   
0601AIA0N       20220101000045100000005000 0000000000000000   
0601AIA0N       20220101000050100000005000 0000000000000000   
0601AIA0N       20220101000055100000005000 0000000000000000   
0601AIA0N       20220101000060100000005000 0000000000000000   
0601AIA0N       20220101000065100000005000 0000000000000000   
0601AIA0N       20220101000070100000005000 0000000000000000   
0601AIA0N       20220101000075100000005000 0000000000000000   
0601AIA0N       20220101000080100000005000 0000000000000012   
0601AIA0N       20220101000085100000005000 0000000000000023   
0601AIA0N       20220101000090100000005000 0000000000000022   
0601AIA0N       20220101000095100000005000 0000000000000031   
0601AIA0N       20220101000100100000005000 0000000000000039   
0601AIA0N       20220101000105100000005000 0000000000000047   
0601AIA0N       20220101000110100000005000 0000000000000053   
0601AIA0N       20220101000115100000005000 0000000000000068   
0601AIA0N       20220101000120100000005000 0000000000000073   
0601AIA0N       20220101000125100000005000 0000000000000086   
0601AIA0N       20220101000130100000005000 0000000000000091   
0601AIA0N       20220101000135100000005000 0000000000000102   
0601AIA0N       20220101000140100000005000 0000000000000112   
0601AIA0N       20220101000145100000005000 0000000000000129   
0601AIA0N       20220101000150100000005000 0000000000000138   
0601AIA0N       20220101000155100000005000 0000000000000146   
0601AIA0N       20220101000160100000005000 0000000000000154   
0601AIA0N       20220101000165100000005000 0000000000000167   
0601AIA0N       20220101000170100000005000 0000000000000180   
0601AIA0N       20220101000175100000005000 0000000000000192   
0601AIA0N       20220101000180100000005000 0000000000000203   
0601AIA0N       20220101000185100000005000 0000000000000213   
0601AIA0N       20220101000190100000005000 0000000000000223   
0601AIA0N       20220101000195100000005000 0000000000000233   
0601AIA0N       20220101000200100000005000 0000000000000247   
0601AIA0N       20220101000205100000005000 0000000000000260   
0601AIA0N       20220101000210100000005000 0000000000000268   
0601AIA0N       20220101000215100000005000 0000000000000276   
0601AIA0N       20220101000220100000005000 0000000000000288   
0601AIA0N       20220101000225100000005000 0000000000000308   
0601AIA0N       20220101000230100000005000 0000000000000318   
0601AIA0N       20220101000235100000005000 0000000000000328   
0601AIA0N       20220101000240100000005000 0000000000000342   
0601AIA0N       20220101000245100000005000 0000000000000356   
0601AIA0N       20220101000250100000005000 0000000000000368   
0601AIA0N       20220101000255100000005000 0000000000000381   
0601AIA0N       20220101000260100000005000 0000000000000389   
0601AIA0N       20220101000265100000005000 0000000000000396   
0601AIA0N       20220101000270100000005000 0000000000000411   
0601AIA0N       20220101000275100000005000 0000000000000422   
0601AIA0N       20220101000280100000005000 0000000000000435   
0601AIA0N       20220101000285100000005000 0000000000000445   
0601AIA0N       20220101000290100000005000 0000000000000455   
0601AIA0N       20220101000295100000005000 0000000000000467   
0601AIA0N       20220101000300100000005000 0000000000000476   
0601AIA0N       20220101000305100000005000 0000000000000488   
0601AIA0N       20220101000310100000005000 0000000000000496   
0601AIA0N       20220101000315100000005000 0000000000000507   
0601AIA0N       20220101000320100000005000 0000000000000518   
0601AIA0N       20220101000325100000005000 0000000000000528   
0601AIA0N       20220101000330100000005000 0000000000000535   
0601AIA0N       20220101000335100000005000 0000000000000545   
0601AIA0N       20220101000340100000005000 0000000000000552   
0601AIA0N       20220101000345100000005000 0000000000000561   
0601AIA0N       20220101000350100000005000 0000000000000570   
0601AIA0N       20220101000355100000005000 0000000000000582   
0601AIA0N       20220101000360100000005000 0000000000000590   
0601AIA0N       20220101000365100000005000 0000000000000596   
0601AIA0N       20220101000370100000005000 0000000000000604   
0601AIA0N       20220101000375100000005000 0000000000000615   
0601AIA0N       20220101000380100000005000 0000000000000622   
0601AIA0N       20220101000385100000005000 0000000000000632   
0601AIA0N       20220101000390100000005000 0000000000000637   
0601AIA0N       20220101000395100000005000 0000000000000644   
0601AIA0N       20220101000400100000005000 0000000000000653   
0601AIA0N       20220101000405100000005000 0000000000000660   
0601AIA0N       20220101000410100000005000 0000000000000669   
0601AIA0N       20220101000415100000005000 0000000000000673   
0601AIA0N       20220101000420100000005000 0000000000000679   
0601AIA0N       20220101000425100000005000 0000000000000688   
0601AIA0N       20220101000430100000005000 0000000000000694   
0601AIA0N       20220101000435100000005000 0000000000000699   
0601AIA0N       20220101000440100000005000 0000000000000707   
0601AIA0N       20220101000445100000005000 0000000000000711   
0601AIA0N       20220101000450100000005000 0000000000000716   
0601AIA0N       20220101000455100000005000 0000000000000723   
0601AIA0N       20220101000460100000005000 0000000000000731   
0601AIA0N       20220101000465100000005000 0000000000000736   
0601AIA0N       20220101000470100000005000 0000000000000741   
0601AIA0N       20220101000475100000005000 0000000000000750   
0601AIA0N       20220101000480100000005000 0000000000000759   
0601AIA0N       20220101000485100000005000 0000000000000765   
0601AIA0N       20220101000490100000005000 0000000000000774   
0601AIA0N       20220101000495100000005000 0000000000000778   
0601AIA0N       20220101000500100000005000 0000000000000786   
0601AIA0N       20220101000505100000005000 0000000000000792   
0601AIA0N       20220101000510100000005000 0000000000000800   
0601AIA0N       20220101000515100000005000 0000000000000806   
0601AIA0N       20220101000520100000005000 0000000000000811   
0601AIA0N       20220101000525100000005000 0000000000000817   
0601AIA0N       20220101000530100000005000 0000000000000824   
0601AIA0N       20220101000535100000005000 0000000000000830   
0601AIA0N       20220101000540100000005000 0000000000000837   
0601AIA0N       20220101000545100000005000 0000000000000840   
0601AIA0N       20220101000550100000005000 0000000000000847   
0601AIA0N       20220101000555100000005000 0000000000000852   
0601AIA0N       20220101000560100000005000 0000000000000859   
0601AIA0N       20220101000565100000005000 0000000000000863   
0601AIA0N       20220101000570100000005000 0000000000000870   
0601AIA0N       20220101000575100000005000 0000000000000873   
0601AIA0N       20220101000580100000005000 0000000000000877   
0601AIA0N       20220101000585100000005000 0000000000000883   
0601AIA0N       20220101000590100000005000 0000000000000888   
0601AIA0N       20220101000595100000005000 0000000000000894   
0601AIA0N       20220101000600100000005000 0000000000000896   
0601AIA0N       20220101000605100000005000 0000000000000902   
0601AIA0N       20220101000610100000005000 0000000000000908   
0601AIA0N       20220101000615100000005000 0000000000000912   
0601AIA0N       20220101000620100000005000 0000000000000917   
0601AIA0N       20220101000625100000005000 0000000000000920   
0601AIA0N       20220101000630100000005000 0000000000000925   
0601AIA0N       20220101000635100000005000 0000000000000930   
0601AIA0N       20220101000640100000005000 0000000000000934   
0601AIA0N       20220101000645100000005000 0000000000000939   
0601AIA0N       20220101000650100000005000 0000000000000941   
0601AIA0N       20220101000655100000005000 0000000000000946   
0601AIA0N       20220101000660100000005000 0000000000000949   
0601AIA0N       20220101000665100000005000 0000000000000954   
0601AIA0N       20220101000670100000005000 0000000000000959   
0601AIA0N       20220101000675100000005000 0000000000000961   
0601AIA0N       20220101000680100000005000 0000000000000966   
0601AIA0N       20220101000685100000005000 0000000000000969   
0601AIA0N       20220101000690100000005000 0000000000000973   
0601AIA0N       20220101000695100000005000 0000000000000978   
0601AIA0N       20220101000700100000005000 0000000000000981   
0601AIA0N       20220101000705100000005000 0000000000000984   
0601AIA0N       20220101000710100000005000 0000000000000988   
0601AIA0N       20220101000715100000005000 0000000000000991   
0601AIA0N       20220101000720100000005000 0000000000000995   
0601AIA0N       20220101000725100000005000 0000000000000999   
0601AIA0N       20220101000730100000005000 0000000000001001   
0601AIA0N       20220101000735100000005000 0000000000001005   
0601AIA0N       20220101000740100000005000 0000000000001007   
0601AIA0N       20220101000745100000005000 0000000000001011   
0601AIA0N       20220101000750100000005000 0000000000001015   
0601AIA0N       20220101000755100000005000 0000000000001017   
0601AIA0N       20220101000760100000005000 0000000000001020   
0601AIA0N       20220101000765100000005000 0000000000001023   
0601AIA0N       20220101000770100000005000 0000000000001027   
0601AIA0N       20220101000775100000005000 0000000000001030   
0601AIA0N       20220101000780100000005000 0000000000001034   
0601AIA0N       20220101000785100000005000 0000000000001039   
0601AIA0N       20220101000790100000005000 0000000000001044   
0601AIA0N       20220101000795100000005000 0000000000001047   
0601AIA0N       20220101000800100000005000 0000000000001052   
0601AIA0N       20220101000805100000005000 0000000000001055   
0601AIA0N       20220101000810100000005000 0000000000001060   
0601AIA0N       20220101000815100000005000 0000000000001065   
0601AIA0N       20220101000820100000005000 0000000000001070   
0601AIA0N       20220101000825100000005000 0000000000001074   
0601AIA0N       20220101000830100000005000 0000000000001080   
0601AIA0N       20220101000835100000005000 0000000000001083   
0601AIA0N       20220101000840100000005000 0000000000001087   
0601AIA0N       20220101000845100000005000 0000000000001093   
0601AIA0N       20220101000850100000005000 0000000000001098   
0601AIA0N       20220101000855100000005000 0000000000001102   
0601AIA0N       20220101000860100000005000 0000000000001105   
0601AIA0N       20220101000865100000005000 0000000000001110   
0601AIA0N       20220101000870100000005000 0000000000001114   
0601AIA0N       20220101000875100000005000 0000000000001119   
0601AIA0N       20220101000880100000005000 0000000000001123   
0601AIA0N       20220101000885100000005000 0000000000001127   
0601AIA0N       20220101000890100000005000 0000000000001131   
0601AIA0N       20220101000895100000005000 0000000000001135   
0601AIA0N       20220101000900100000005000 0000000000001139   
0601AIA0N       20220101000905100000005000 0000000000001144   
0601AIA0N       20220101000910100000005000 0000000000001146   
0601AIA0N       20220101000915100000005000 0000000000001150   
0601AIA0N       20220101000920100000005000 0000000000001154   
0601AIA0N       20220101000925100000005000 0000000000001159   
0601AIA0N       20220101000930100000005000 0000000000001164   
0601AIA0N       20220101000935100000005000 0000000000001167   
0601AIA0N       20220101000940100000005000 0000000000001171   
0601AIA0N       20220101000945100000005000 0000000000001175   
0601AIA0N       20220101000950100000005000 0000000000001179   
0601AIA0N       20220101000955100000005000 0000000000001182   
0601AIA0N       20220101000960100000005000 0000000000001186   
0601AIA0N       20220101000965100000005000 0000000000001190   
0601AIA0N       20220101000970100000005000 0000000000001194   
0601AIA0N       20220101000975100000005000 0000000000001199   
0601AIA0N       20220101000980100000005000 0000000000001202   
0601AIA0N       20220101000985100000005000 0000000000001206   
0601AIA0N       20220101000990100000005000 0000000000001209   
0601AIA0N       20220101000995100000005000 0000000000001214   
0601AIA0N       20220101001000100000005000 0000000000001218   
0601AIA0N       20220101001005100000005000 0000000000001221   
0601AIA0N       20220101001010100000005000 0000000000001225   
0601AIA0N       20220101001015100000005000 0000000000001228   
0601AIA0N       20220101001020100000005000 0000000000001232   
0601AIA0N       20220101001025100000005000 0000000000001236   
0601AIA0N       20220101001030100000005000 0000000000001239   
0601AIA0N       20220101001035100000005000 0000000000001243   
0601AIA0N       20220101001040100000005000 0000000000001247   
0601AIA0N       20220101001045100000005000 0000000000001251   
0601AIA0N       20220101001050100000005000 0000000000001253   
0601AIA0N       20220101001055100000005000 0000000000001257   
0601AIA0N       20220101001060100000005000 0000000000001261   
0601AIA0N       20220101001065100000005000 0000000000001264   
0601AIA0N       20220101001070100000005000 0000000000001267   
0601AIA0N       20220101001075100000005000 0000000000001271   
0601AIA0N       20220101001080100000005000 0000000000001273   
0601AIA0N       20220101001085100000005000 0000000000001278   
0601AIA0N       20220101001090100000005000 0000000000001281   
0601AIA0N       20220101001095100000005000 0000000000001286   
0601AIA0N       20220101001100100000005000 0000000000001289   
0601AIA0N       20220101001105100000005000 0000000000001294   
0601AIA0N       20220101001110100000005000 0000000000001297   
0601AIA0N       20220101001115100000005000 0000000000001302   
0601AIA0N       20220101001120100000005000 0000000000001305   
0601AIA0N       20220101001125100000005000 0000000000001309   
0601AIA0N       20220101001130100000005000 0000000000001313   
0601AIA0N       20220101001135100000005000 0000000000001317   
0601AIA0N       20220101001140100000005000 0000000000001321   
0601AIA0N       20220101001145100000005000 0000000000001325   
0601AIA0N       20220101001150100000005000 0000000000001328   
0601AIA0N       20220101001155100000005000 0000000000001332   
0601AIA0N       20220101001160100000005000 0000000000001336   
0601AIA0N       20220101001165100000005000 0000000000001339   
0601AIA0N       20220101001170100000005000 0000000000001342   
0601AIA0N       20220101001175100000005000 0000000000001347   
0601AIA0N       20220101001180100000005000 0000000000001350   
0601AIA0N       20220101001185100000005000 0000000000001353   
0601AIA0N       20220101001190100000005000 0000000000001357   
0601AIA0N       20220101001195100000005000 0000000000001361   
0601AIA0N       20220101001200100000005000 0000000000001364   
0601AIA0N       20220101001205100000005000 0000000000001367   
0601AIA0N       20220101001210100000005000 0000000000001371   
0601AIA0N       20220101001215100000005000 0000000000001374   
0601AIA0N       20220101001220100000005000 0000000000001378   
0601AIA0N       20220101001225100000005000 0000000000001380   
0601AIA0N       20220101001230100000005000 0000000000001384   
0601AIA0N       20220101001235100000005000 0000000000001387   
0601AIA0N       20220101001240100000005000 0000000000001391   
0601AIA0N       20220101001245100000005000 0000000000001394   
0601AIA0N       20220101001250100000005000 0000000000001398   
0601AIA0N       20220101001255100000005000 0000000000001400   
0601AIA0N       20220101001260100000005000 0000000000001404   
0601AIA0N       20220101001265100000005000 0000000000001407   
0601AIA0N       20220101001270100000005000 0000000000001411   
0601AIA0N       20220101001275100000005000 0000000000001414   
0601AIA0N       20220101001280100000005000 0000000000001418   
0601AIA0N       20220101001285100000005000 0000000000001421   
0601AIA0N       20220101001290100000005000 0000000000001423   
0601AIA0N       20220101001295100000005000 0000000000001427   
0601AIA0N       20220101001300100000005000 0000000000001430   
0601AIA0N       20220101001305100000005000 0000000000001433   
0601AIA0N       20220101001310100000005000 0000000000001436   
0601AIA0N       20220101001315100000005000 0000000000001439   
0601AIA0N       20220101001320100000005000 0000000000001441   
0601AIA0N       20220101001325100000005000 0000000000001445   
0601AIA0N       20220101001330100000005000 0000000000001448   
0601AIA0N       20220101001335100000005000 0000000000001451   
0601AIA0N       20220101001340100000005000 0000000000001454   
0601AIA0N       20220101001345100000005000 0000000000001457   
0601AIA0N       20220101001350100000005000 0000000000001460   
0601AIA0N       20220101001355100000005000 0000000000001462   
0601AIA0N       20220101001360100000005000 0000000000001465   
0601AIA0N       20220101001365100000005000 0000000000001468   
0601AIA0N       20220101001370100000005000 0000000000001471   
0601AIA0N       20220101001375100000005000 0000000000001474   
0601AIA0N       20220101001380100000005000 0000000000001478   
0601AIA0N       20220101001385100000005000 0000000000001481   
0601AIA0N       20220101001390100000005000 0000000000001484   
0601AIA0N       20220101001395100000005000 0000000000001488   
0601AIA0N       20220101001400100000005000 0000000000001491   
0601AIA0N       20220101001405100000005000 0000000000001494   
0601AIA0N       20220101001410100000005000 0000000000001497   
0601AIA0N       20220101001415100000005000 0000000000001501   
0601AIA0N       20220101001420100000005000 0000000000001504   
0601AIA0N       20220101001425100000005000 0000000000001508   
0601AIA0N       20220101001430100000005000 0000000000001511   
0601AIA0N       20220101001435100000005000 0000000000001514   
0601AIA0N       20220101001440100000005000 0000000000001517   
0601AIA0N       20220101001445100000005000 0000000000001520   
0601AIA0N       20220101001450100000005000 0000000000001524   
0601AIA0N       20220101001455100000005000 0000000000001526   
0601AIA0N       20220101001460100000005000 0000000000001529   
0601AIA0N       20220101001465100000005000 0000000000001532   
0601AIA0N       20220101001470100000005000 0000000000001535   
0601AIA0N       20220101001475100000005000 0000000000001537   
0601AIA0N       20220101001480100000005000 0000000000001540   
0601AIA0N       20220101001485100000005000 0000000000001543   
0601AIA0N       20220101001490100000005000 0000000000001545   
0601AIA0N       20220101001495100000005000 0000000000001548   
0601AIA0N       20220101001500100000005000 0000000000001551   
0601AIA0N       20220101001505100000005000 0000000000001554   
0601AIA0N       20220101001510100000005000 0000000000001556   
0601AIA0N       20220101001515100000005000 0000000000001558   
0601AIA0N       20220101001520100000005000 0000000000001562   
0601AIA0N       20220101001525100000005000 0000000000001564   
0601AIA0N       20220101001530100000005000 0000000000001566   
0601AIA0N       20220101001535100000005000 0000000000001569   
0601AIA0N       20220101001540100000005000 0000000000001571   
0601AIA0N       20220101001545100000005000 0000000000001574   
0601AIA0N       20220101001550100000005000 0000000000001577   
0601AIA0N       20220101001555100000005000 0000000000001579   
0601AIA0N       20220101001560100000005000 0000000000001581   
0601AIA0N       20220101001565100000005000 0000000000001584   
0601AIA0N       20220101001570100000005000 0000000000001587   
0601AIA0N       20220101001575100000005000 0000000000001589   
0601AIA0N       20220101001580100000005000 0000000000001591   
0601AIA0N       20220101001585100000005000 0000000000001594   
0601AIA0N       20220101001590100000005000 0000000000001596   
0601AIA0N       20220101001595100000005000 0000000000001598   
0601AIA0N       20220101001600100000005000 0000000000001601   
0601AIA0N       20220101001605100000005000 0000000000001604   
0601AIA0N       20220101001610100000005000 0000000000001606   
0601AIA0N       20220101001615100000005000 0000000000001608   
0601AIA0N       20220101001620100000005000 0000000000001610   
0601AIA0N       20220101001625100000005000 0000000000001612   
0601AIA0N       20220101001630100000005000 0000000000001615   
0601AIA0N       20220101001635100000005000 0000000000001617   
0601AIA0N       20220101001640100000005000 0000000000001619   
0601AIA0N       20220101001645100000005000 0000000000001621   
0601AIA0N       20220101001650100000005000 0000000000001624   
0601AIA0N       20220101001655100000005000 0000000000001626   
0601AIA0N       20220101001660100000005000 0000000000001628   
0601AIA0N       20220101001665100000005000 0000000000001630   
0601AIA0N       20220101001670100000005000 0000000000001632   
0601AIA0N       20220101001675100000005000 0000000000001634   
0601AIA0N       20220101001680100000005000 0000000000001637   
0601AIA0N       20220101001685100000005000 0000000000001639   
0601AIA0N       20220101001690100000005000 0000000000001641   
0601AIA0N       20220101001695100000005000 0000000000001643   
0601AIA0N       20220101001700100000100000 0000000000001665   
0601AIA0N       20220101001800100000100000 0000000000001711   
0601AIA0N       20220101001900100000100000 0000000000001754   
0601AIA0N       20220101002000100000100000 0000000000001791   
0601AIA0N       20220101002100100000100000 0000000000001822   
0601AIA0N       20220101002200100000100000 0000000000001851   
