00AR               20211111                                                                                   
0601ARA0N       20220101000000100000115000 0000000030000026   
0601ARA0N       20220101000115100000005000 0000000030000026   
0601ARA0N       20220101000120100000005000 0000000030000024   
0601ARA0N       20220101000125100000005000 0000000030000024   
0601ARA0N       20220101000130100000005000 0000000030000023   
0601ARA0N       20220101000135100000005000 0000000030000022   
0601ARA0N       20220101000140100000005000 0000000030000021   
0601ARA0N       20220101000145100000005000 0000000030000020   
0601ARA0N       20220101000150100000005000 0000000030000024   
0601ARA0N       20220101000155100000005000 0000000030000035   
0601ARA0N       20220101000160100000005000 0000000030000053   
0601ARA0N       20220101000165100000005000 0000000030000070   
0601ARA0N       20220101000170100000005000 0000000030000086   
0601ARA0N       20220101000175100000005000 0000000030000110   
0601ARA0N       20220101000180100000005000 0000000030000132   
0601ARA0N       20220101000185100000005000 0000000030000154   
0601ARA0N       20220101000190100000005000 0000000030000174   
0601ARA0N       20220101000195100000005000 0000000030000193   
0601ARA0N       20220101000200100000005000 0000000030000211   
0601ARA0N       20220101000205100000005000 0000000030000230   
0601ARA0N       20220101000210100000005000 0000000030000248   
0601ARA0N       20220101000215100000005000 0000000030000269   
0601ARA0N       20220101000220100000005000 0000000030000290   
0601ARA0N       20220101000225100000005000 0000000030000309   
0601ARA0N       20220101000230100000005000 0000000030000328   
0601ARA0N       20220101000235100000005000 0000000030000346   
0601ARA0N       20220101000240100000005000 0000000030000363   
0601ARA0N       20220101000245100000005000 0000000030000379   
0601ARA0N       20220101000250100000005000 0000000030000395   
0601ARA0N       20220101000255100000005000 0000000030000415   
0601ARA0N       20220101000260100000005000 0000000030000429   
0601ARA0N       20220101000265100000005000 0000000030000443   
0601ARA0N       20220101000270100000005000 0000000030000457   
0601ARA0N       20220101000275100000005000 0000000030000470   
0601ARA0N       20220101000280100000005000 0000000030000483   
0601ARA0N       20220101000285100000005000 0000000030000495   
0601ARA0N       20220101000290100000005000 0000000030000506   
0601ARA0N       20220101000295100000005000 0000000030000518   
0601ARA0N       20220101000300100000005000 0000000030000529   
0601ARA0N       20220101000305100000005000 0000000030000539   
0601ARA0N       20220101000310100000005000 0000000030000549   
0601ARA0N       20220101000315100000005000 0000000030000559   
0601ARA0N       20220101000320100000005000 0000000030000570   
0601ARA0N       20220101000325100000005000 0000000030000583   
