00BL               20211111                                                                                   
0601BLA0N       20220101000000100000120000 0000000000000000   
0601BLA0N       20220101000120100000005000 0000000000000008   
0601BLA0N       20220101000125100000005000 0000000000000008   
0601BLA0N       20220101000130100000005000 0000000000000008   
0601BLA0N       20220101000135100000005000 0000000000000007   
0601BLA0N       20220101000140100000005000 0000000000000007   
0601BLA0N       20220101000145100000005000 0000000000000007   
0601BLA0N       20220101000150100000005000 0000000000000007   
0601BLA0N       20220101000155100000005000 0000000000000013   
0601BLA0N       20220101000160100000005000 0000000000000012   
0601BLA0N       20220101000165100000005000 0000000000000012   
0601BLA0N       20220101000170100000005000 0000000000000012   
0601BLA0N       20220101000175100000005000 0000000000000011   
0601BLA0N       20220101000180100000005000 0000000000000011   
0601BLA0N       20220101000185100000005000 0000000000000011   
0601BLA0N       20220101000190100000005000 0000000000000010   
0601BLA0N       20220101000195100000005000 0000000000000015   
0601BLA0N       20220101000200100000005000 0000000000000015   
0601BLA0N       20220101000205100000005000 0000000000000014   
0601BLA0N       20220101000210100000005000 0000000000000061   
0601BLA0N       20220101000215100000005000 0000000000000074   
0601BLA0N       20220101000220100000005000 0000000000000090   
0601BLA0N       20220101000225100000005000 0000000000000110   
0601BLA0N       20220101000230100000005000 0000000000000073   
0601BLA0N       20220101000235100000005000 0000000000000088   
0601BLA0N       20220101000240100000005000 0000000000000103   
0601BLA0N       20220101000245100000005000 0000000000000117   
0601BLA0N       20220101000250100000005000 0000000000000131   
0601BLA0N       20220101000255100000005000 0000000000000148   
0601BLA0N       20220101000260100000005000 0000000000000160   
0601BLA0N       20220101000265100000005000 0000000000000176   
0601BLA0N       20220101000270100000005000 0000000000000191   
0601BLA0N       20220101000275100000005000 0000000000000205   
0601BLA0N       20220101000280100000005000 0000000000000219   
0601BLA0N       20220101000285100000005000 0000000000000237   
0601BLA0N       20220101000290100000005000 0000000000000250   
0601BLA0N       20220101000295100000005000 0000000000000266   
0601BLA0N       20220101000300100000005000 0000000000000281   
0601BLA0N       20220101000305100000005000 0000000000000296   
0601BLA0N       20220101000310100000005000 0000000000000310   
0601BLA0N       20220101000315100000005000 0000000000000324   
0601BLA0N       20220101000320100000005000 0000000000000341   
0601BLA0N       20220101000325100000005000 0000000000000354   
0601BLA0N       20220101000330100000005000 0000000000000370   
0601BLA0N       20220101000335100000005000 0000000000000385   
0601BLA0N       20220101000340100000005000 0000000000000397   
0601BLA0N       20220101000345100000005000 0000000000000412   
0601BLA0N       20220101000350100000005000 0000000000000426   
0601BLA0N       20220101000355100000005000 0000000000000442   
0601BLA0N       20220101000360100000005000 0000000000000455   
0601BLA0N       20220101000365100000005000 0000000000000468   
0601BLA0N       20220101000370100000005000 0000000000000483   
0601BLA0N       20220101000375100000005000 0000000000000498   
0601BLA0N       20220101000380100000005000 0000000000000510   
0601BLA0N       20220101000385100000005000 0000000000000524   
0601BLA0N       20220101000390100000005000 0000000000000538   
0601BLA0N       20220101000395100000005000 0000000000000551   
0601BLA0N       20220101000400100000005000 0000000000000566   
