00GE               20211117                                                                                   
0601GEA0N       20220101000000100000230000 0000000000000000   
0601GEA0N       20220101000230005000005000 0000000000000006   
0601GEA0N       20220101000235005000005000 0000000000000040   
0601GEA0N       20220101000240005000005000 0000000000000065   
0601GEA0N       20220101000245005000005000 0000000000000089   
0601GEA0N       20220101000250005000005000 0000000000000112   
0601GEA0N       20220101000255005000005000 0000000000000134   
0601GEA0N       20220101000260005000005000 0000000000000155   
0601GEA0N       20220101000265005000005000 0000000000000175   
0601GEA0N       20220101000270005000005000 0000000000000198   
0601GEA0N       20220101000275005000005000 0000000000000219   
0601GEA0N       20220101000280005000005000 0000000000000240   
0601GEA0N       20220101000285005000005000 0000000000000260   
0601GEA0N       20220101000290005000005000 0000000000000282   
0601GEA0N       20220101000295005000005000 0000000000000303   
0601GEA0N       20220101000300005000005000 0000000000000323   
0601GEA0N       20220101000305005000005000 0000000000000343   
0601GEA0N       20220101000310005000005000 0000000000000364   
0601GEA0N       20220101000315005000005000 0000000000000384   
0601GEA0N       20220101000320005000005000 0000000000000405   
0601GEA0N       20220101000325005000005000 0000000000000424   
0601GEA0N       20220101000330005000005000 0000000000000444   
0601GEA0N       20220101000335005000005000 0000000000000465   
0601GEA0N       20220101000340005000005000 0000000000000485   
0601GEA0N       20220101000345005000005000 0000000000000504   
0601GEA0N       20220101000350005000005000 0000000000000523   
0601GEA0N       20220101000355005000005000 0000000000000541   
0601GEA0N       20220101000360005000005000 0000000000000559   
0601GEA0N       20220101000365005000005000 0000000000000576   
0601GEA0N       20220101000370005000005000 0000000000000593   
0601GEA0N       20220101000375005000005000 0000000000000610   
0601GEA0N       20220101000380005000005000 0000000000000626   
0601GEA0N       20220101000385005000005000 0000000000000643   
0601GEA0N       20220101000390005000005000 0000000000000660   
0601GEA0N       20220101000395005000005000 0000000000000677   
0601GEA0N       20220101000400005000005000 0000000000000693   
0601GEA0N       20220101000405005000005000 0000000000000709   
0601GEA0N       20220101000410005000005000 0000000000000725   
0601GEA0N       20220101000415005000005000 0000000000000740   
0601GEA0N       20220101000420005000005000 0000000000000755   
0601GEA0N       20220101000425005000005000 0000000000000770   
0601GEA0N       20220101000430005000005000 0000000000000786   
0601GEA0N       20220101000435005000005000 0000000000000801   
0601GEA0N       20220101000440005000005000 0000000000000816   
0601GEA0N       20220101000445005000005000 0000000000000831   
0601GEA0N       20220101000450005000005000 0000000000000845   
0601GEA0N       20220101000455005000005000 0000000000000859   
0601GEA0N       20220101000460005000005000 0000000000000873   
0601GEA0N       20220101000465005000005000 0000000000000887   
0601GEA0N       20220101000470005000005000 0000000000000902   
0601GEA0N       20220101000475005000005000 0000000000000917   
0601GEA0N       20220101000480005000005000 0000000000000932   
0601GEA0N       20220101000485005000005000 0000000000000947   
0601GEA0N       20220101000490005000005000 0000000000000961   
0601GEA0N       20220101000495005000005000 0000000000000975   
0601GEA0N       20220101000500005000005000 0000000000000989   
0601GEA0N       20220101000505005000005000 0000000000001003   
0601GEA0N       20220101000510005000005000 0000000000001017   
0601GEA0N       20220101000515005000005000 0000000000001030   
0601GEA0N       20220101000520005000005000 0000000000001044   
0601GEA0N       20220101000525005000005000 0000000000001057   
0601GEA0N       20220101000530005000005000 0000000000001070   
0601GEA0N       20220101000535005000005000 0000000000001083   
0601GEA0N       20220101000540005000005000 0000000000001095   
0601GEA0N       20220101000545005000005000 0000000000001107   
