00GL               20211125                                                                                   
0601GLA0N       20220101000000100000120000 0000000104000000   
0601GLA0N       20220101000120100000005000 0000000104000106   
0601GLA0N       20220101000125100000005000 0000000104000133   
0601GLA0N       20220101000130100000005000 0000000104000158   
0601GLA0N       20220101000135100000005000 0000000104000182   
0601GLA0N       20220101000140100000005000 0000000104000204   
0601GLA0N       20220101000145100000005000 0000000104000217   
0601GLA0N       20220101000150100000005000 0000000104000236   
0601GLA0N       20220101000155100000005000 0000000104000254   
0601GLA0N       20220101000160100000005000 0000000104000271   
0601GLA0N       20220101000165100000005000 0000000104000293   
0601GLA0N       20220101000170100000005000 0000000104000307   
0601GLA0N       20220101000175100000005000 0000000104000321   
0601GLA0N       20220101000180100000005000 0000000104000334   
0601GLA0N       20220101000185100000005000 0000000104000347   
0601GLA0N       20220101000190100000005000 0000000104000358   
0601GLA0N       20220101000195100000005000 0000000104000370   
0601GLA0N       20220101000200100000005000 0000000104000375   
0601GLA0N       20220101000205100000005000 0000000104000386   
0601GLA0N       20220101000210100000005000 0000000104000395   
0601GLA0N       20220101000215100000005000 0000000104000405   
0601GLA0N       20220101000220100000005000 0000000104000418   
0601GLA0N       20220101000225100000005000 0000000104000440   
0601GLA0N       20220101000230100000005000 0000000104000456   
0601GLA0N       20220101000235100000005000 0000000104000472   
0601GLA0N       20220101000240100000005000 0000000104000487   
0601GLA0N       20220101000245100000005000 0000000104000497   
0601GLA0N       20220101000250100000005000 0000000104000511   
0601GLA0N       20220101000255100000005000 0000000104000524   
0601GLA0N       20220101000260100000005000 0000000104000533   
0601GLA0N       20220101000265100000005000 0000000104000546   
0601GLA0N       20220101000270100000005000 0000000104000561   
0601GLA0N       20220101000275100000005000 0000000104000573   
0601GLA0N       20220101000280100000005000 0000000104000581   
0601GLA0N       20220101000285100000005000 0000000104000591   
0601GLA0N       20220101000290100000005000 0000000104000602   
0601GLA0N       20220101000295100000005000 0000000104000612   
0601GLA0N       20220101000300100000005000 0000000104000618   
0601GLA0N       20220101000305100000005000 0000000104000628   
0601GLA0N       20220101000310100000005000 0000000104000637   
0601GLA0N       20220101000315100000005000 0000000104000646   
0601GLA0N       20220101000320100000005000 0000000104000654   
0601GLA0N       20220101000325100000005000 0000000104000666   
0601GLA0N       20220101000330100000005000 0000000104000677   
0601GLA0N       20220101000335100000005000 0000000104000684   
0601GLA0N       20220101000340100000005000 0000000104000695   
0601GLA0N       20220101000345100000005000 0000000104000705   
0601GLA0N       20220101000350100000005000 0000000104000712   
0601GLA0N       20220101000355100000005000 0000000104000722   
0601GLA0N       20220101000360100000005000 0000000104000731   
0601GLA0N       20220101000365100000005000 0000000104000740   
0601GLA0N       20220101000370100000005000 0000000104000746   
0601GLA0N       20220101000375100000005000 0000000104000755   
0601GLA0N       20220101000380100000005000 0000000104000766   
0601GLA0N       20220101000385100000005000 0000000104000774   
0601GLA0N       20220101000390100000005000 0000000104000782   
0601GLA0N       20220101000395100000005000 0000000104000787   
0601GLA0N       20220101000400100000005000 0000000104000795   
0601GLA0N       20220101000405100000005000 0000000104000802   
0601GLA0N       20220101000410100000005000 0000000104000810   
0601GLA0N       20220101000415100000005000 0000000104000814   
0601GLA0N       20220101000420100000005000 0000000104000821   
0601GLA0N       20220101000425100000005000 0000000104000828   
0601GLA0N       20220101000430100000005000 0000000104000835   
0601GLA0N       20220101000435100000005000 0000000104000839   
0601GLA0N       20220101000440100000005000 0000000104000845   
0601GLA0N       20220101000445100000005000 0000000104000851   
0601GLA0N       20220101000450100000005000 0000000104000857   
0601GLA0N       20220101000455100000005000 0000000104000861   
0601GLA0N       20220101000460100000005000 0000000104000867   
0601GLA0N       20220101000465100000005000 0000000104000873   
0601GLA0N       20220101000470100000005000 0000000104000878   
0601GLA0N       20220101000475100000005000 0000000104000888   
0601GLA0N       20220101000480100000005000 0000000104000895   
0601GLA0N       20220101000485100000005000 0000000104000901   
0601GLA0N       20220101000490100000005000 0000000104000908   
0601GLA0N       20220101000495100000005000 0000000104000913   
0601GLA0N       20220101000500100000005000 0000000104000921   
0601GLA0N       20220101000505100000005000 0000000104000928   
0601GLA0N       20220101000510100000005000 0000000104000933   
0601GLA0N       20220101000515100000005000 0000000104000939   
0601GLA0N       20220101000520100000005000 0000000104000949   
0601GLA0N       20220101000525100000005000 0000000104000957   
0601GLA0N       20220101000530100000005000 0000000104000963   
0601GLA0N       20220101000535100000005000 0000000104000971   
0601GLA0N       20220101000540100000005000 0000000104000981   
0601GLA0N       20220101000545100000005000 0000000104000986   
0601GLA0N       20220101000550100000005000 0000000104000994   
0601GLA0N       20220101000555100000005000 0000000104000999   
0601GLA0N       20220101000560100000005000 0000000104001006   
0601GLA0N       20220101000565100000005000 0000000104001011   
0601GLA0N       20220101000570100000005000 0000000104001018   
0601GLA0N       20220101000575100000005000 0000000104001023   
0601GLA0N       20220101000580100000005000 0000000104001030   
0601GLA0N       20220101000585100000005000 0000000104001035   
0601GLA0N       20220101000590100000005000 0000000104001041   
0601GLA0N       20220101000595100000005000 0000000104001046   
0601GLA0N       20220101000600100000005000 0000000104001054   
0601GLA0N       20220101000605100000005000 0000000104001060   
0601GLA0N       20220101000610100000005000 0000000104001064   
0601GLA0N       20220101000615100000005000 0000000104001070   
0601GLA0N       20220101000620100000005000 0000000104001076   
0601GLA0N       20220101000625100000005000 0000000104001080   
0601GLA0N       20220101000630100000005000 0000000104001086   
0601GLA0N       20220101000635100000005000 0000000104001090   
0601GLA0N       20220101000640100000005000 0000000104001096   
0601GLA0N       20220101000645100000005000 0000000104001101   
0601GLA0N       20220101000650100000005000 0000000104001105   
0601GLA0N       20220101000655100000005000 0000000104001110   
0601GLA0N       20220101000660100000005000 0000000104001114   
0601GLA0N       20220101000665100000005000 0000000104001119   
0601GLA0N       20220101000670100000005000 0000000104001124   
0601GLA0N       20220101000675100000005000 0000000104001128   
0601GLA0N       20220101000680100000005000 0000000104001133   
0601GLA0N       20220101000685100000005000 0000000104001136   
0601GLA0N       20220101000690100000005000 0000000104001141   
0601GLA0N       20220101000695100000005000 0000000104001146   
0601GLA0N       20220101000700100000005000 0000000104001149   
0601GLA0N       20220101000705100000005000 0000000104001156   
0601GLA0N       20220101000710100000005000 0000000104001159   
0601GLA0N       20220101000715100000005000 0000000104001164   
0601GLA0N       20220101000720100000005000 0000000104001167   
0601GLA0N       20220101000725100000005000 0000000104001171   
0601GLA0N       20220101000730100000005000 0000000104001175   
0601GLA0N       20220101000735100000005000 0000000104001178   
0601GLA0N       20220101000740100000005000 0000000104001182   
0601GLA0N       20220101000745100000005000 0000000104001185   
0601GLA0N       20220101000750100000005000 0000000104001189   
0601GLA0N       20220101000755100000005000 0000000104001193   
0601GLA0N       20220101000760100000005000 0000000104001196   
0601GLA0N       20220101000765100000005000 0000000104001200   
0601GLA0N       20220101000770100000005000 0000000104001203   
0601GLA0N       20220101000775100000005000 0000000104001208   
0601GLA0N       20220101000780100000005000 0000000104001213   
0601GLA0N       20220101000785100000005000 0000000104001217   
0601GLA0N       20220101000790100000005000 0000000104001221   
0601GLA0N       20220101000795100000005000 0000000104001226   
0601GLA0N       20220101000800100000005000 0000000104001231   
0601GLA0N       20220101000805100000005000 0000000104001236   
0601GLA0N       20220101000810100000005000 0000000104001241   
0601GLA0N       20220101000815100000005000 0000000104001248   
0601GLA0N       20220101000820100000005000 0000000104001251   
0601GLA0N       20220101000825100000005000 0000000104001256   
0601GLA0N       20220101000830100000005000 0000000104001260   
0601GLA0N       20220101000835100000005000 0000000104001264   
0601GLA0N       20220101000840100000005000 0000000104001269   
0601GLA0N       20220101000845100000005000 0000000104001274   
0601GLA0N       20220101000850100000005000 0000000104001279   
0601GLA0N       20220101000855100000005000 0000000104001283   
0601GLA0N       20220101000860100000005000 0000000104001287   
0601GLA0N       20220101000865100000005000 0000000104001291   
0601GLA0N       20220101000870100000005000 0000000104001295   
0601GLA0N       20220101000875100000005000 0000000104001299   
0601GLA0N       20220101000880100000005000 0000000104001303   
0601GLA0N       20220101000885100000005000 0000000104001308   
0601GLA0N       20220101000890100000005000 0000000104001312   
0601GLA0N       20220101000895100000005000 0000000104001316   
0601GLA0N       20220101000900100000005000 0000000104001320   
0601GLA0N       20220101000905100000005000 0000000104001323   
0601GLA0N       20220101000910100000005000 0000000104001327   
0601GLA0N       20220101000915100000005000 0000000104001331   
0601GLA0N       20220101000920100000005000 0000000104001334   
0601GLA0N       20220101000925100000005000 0000000104001340   
0601GLA0N       20220101000930100000005000 0000000104001345   
0601GLA0N       20220101000935100000005000 0000000104001348   
0601GLA0N       20220101000940100000005000 0000000104001352   
0601GLA0N       20220101000945100000005000 0000000104001355   
0601GLA0N       20220101000950100000005000 0000000104001359   
0601GLA0N       20220101000955100000005000 0000000104001362   
0601GLA0N       20220101000960100000005000 0000000104001365   
0601GLA0N       20220101000965100000005000 0000000104001368   
0601GLA0N       20220101000970100000005000 0000000104001373   
0601GLA0N       20220101000975100000005000 0000000104001376   
0601GLA0N       20220101000980100000005000 0000000104001379   
0601GLA0N       20220101000985100000005000 0000000104001382   
0601GLA0N       20220101000990100000005000 0000000104001385   
0601GLA0N       20220101000995100000005000 0000000104001388   
0601GLA0N       20220101001000100000005000 0000000104001392   
0601GLA0N       20220101001005100000005000 0000000104001395   
0601GLA0N       20220101001010100000005000 0000000104001399   
0601GLA0N       20220101001015100000005000 0000000104001401   
0601GLA0N       20220101001020100000005000 0000000104001405   
0601GLA0N       20220101001025100000005000 0000000104001409   
0601GLA0N       20220101001030100000005000 0000000104001412   
0601GLA0N       20220101001035100000005000 0000000104001418   
0601GLA0N       20220101001040100000005000 0000000104001422   
0601GLA0N       20220101001045100000005000 0000000104001424   
0601GLA0N       20220101001050100000005000 0000000104001428   
0601GLA0N       20220101001055100000005000 0000000104001431   
0601GLA0N       20220101001060100000005000 0000000104001434   
0601GLA0N       20220101001065100000005000 0000000104001438   
0601GLA0N       20220101001070100000005000 0000000104001441   
0601GLA0N       20220101001075100000005000 0000000104001444   
0601GLA0N       20220101001080100000005000 0000000104001448   
0601GLA0N       20220101001085100000005000 0000000104001451   
0601GLA0N       20220101001090100000005000 0000000104001455   
0601GLA0N       20220101001095100000005000 0000000104001459   
0601GLA0N       20220101001100100000005000 0000000104001463   
0601GLA0N       20220101001105100000005000 0000000104001466   
0601GLA0N       20220101001110100000005000 0000000104001471   
0601GLA0N       20220101001115100000005000 0000000104001477   
0601GLA0N       20220101001120100000005000 0000000104001480   
0601GLA0N       20220101001125100000005000 0000000104001484   
0601GLA0N       20220101001130100000005000 0000000104001487   
0601GLA0N       20220101001135100000005000 0000000104001491   
0601GLA0N       20220101001140100000005000 0000000104001496   
0601GLA0N       20220101001145100000005000 0000000104001500   
0601GLA0N       20220101001150100000005000 0000000104001503   
0601GLA0N       20220101001155100000005000 0000000104001507   
0601GLA0N       20220101001160100000005000 0000000104001512   
0601GLA0N       20220101001165100000005000 0000000104001515   
0601GLA0N       20220101001170100000005000 0000000104001519   
0601GLA0N       20220101001175100000005000 0000000104001522   
0601GLA0N       20220101001180100000005000 0000000104001526   
0601GLA0N       20220101001185100000005000 0000000104001531   
0601GLA0N       20220101001190100000005000 0000000104001534   
0601GLA0N       20220101001195100000005000 0000000104001537   
0601GLA0N       20220101001200100000005000 0000000104001540   
0601GLA0N       20220101001205100000005000 0000000104001545   
0601GLA0N       20220101001210100000005000 0000000104001549   
0601GLA0N       20220101001215100000005000 0000000104001552   
0601GLA0N       20220101001220100000005000 0000000104001555   
0601GLA0N       20220101001225100000005000 0000000104001558   
0601GLA0N       20220101001230100000005000 0000000104001563   
0601GLA0N       20220101001235100000005000 0000000104001566   
0601GLA0N       20220101001240100000005000 0000000104001569   
0601GLA0N       20220101001245100000005000 0000000104001574   
0601GLA0N       20220101001250100000005000 0000000104001577   
0601GLA0N       20220101001255100000005000 0000000104001579   
0601GLA0N       20220101001260100000005000 0000000104001584   
0601GLA0N       20220101001265100000005000 0000000104001587   
0601GLA0N       20220101001270100000005000 0000000104001590   
0601GLA0N       20220101001275100000005000 0000000104001595   
0601GLA0N       20220101001280100000005000 0000000104001597   
0601GLA0N       20220101001285100000005000 0000000104001600   
0601GLA0N       20220101001290100000005000 0000000104001605   
0601GLA0N       20220101001295100000005000 0000000104001607   
0601GLA0N       20220101001300100000005000 0000000104001610   
0601GLA0N       20220101001305100000005000 0000000104001612   
0601GLA0N       20220101001310100000005000 0000000104001617   
0601GLA0N       20220101001315100000005000 0000000104001620   
0601GLA0N       20220101001320100000005000 0000000104001622   
0601GLA0N       20220101001325100000005000 0000000104001626   
0601GLA0N       20220101001330100000005000 0000000104001629   
0601GLA0N       20220101001335100000005000 0000000104001631   
0601GLA0N       20220101001340100000005000 0000000104001636   
0601GLA0N       20220101001345100000005000 0000000104001638   
0601GLA0N       20220101001350100000005000 0000000104001641   
0601GLA0N       20220101001355100000005000 0000000104001645   
0601GLA0N       20220101001360100000005000 0000000104001647   
0601GLA0N       20220101001365100000005000 0000000104001650   
0601GLA0N       20220101001370100000005000 0000000104001654   
0601GLA0N       20220101001375100000005000 0000000104001656   
0601GLA0N       20220101001380100000005000 0000000104001659   
0601GLA0N       20220101001385100000005000 0000000104001664   
0601GLA0N       20220101001390100000005000 0000000104001667   
0601GLA0N       20220101001395100000005000 0000000104001669   
0601GLA0N       20220101001400100000005000 0000000104001674   
0601GLA0N       20220101001405100000005000 0000000104001677   
0601GLA0N       20220101001410100000005000 0000000104001680   
0601GLA0N       20220101001415100000005000 0000000104001685   
0601GLA0N       20220101001420100000005000 0000000104001688   
0601GLA0N       20220101001425100000005000 0000000104001690   
0601GLA0N       20220101001430100000005000 0000000104001695   
0601GLA0N       20220101001435100000005000 0000000104001697   
0601GLA0N       20220101001440100000005000 0000000104001701   
0601GLA0N       20220101001445100000005000 0000000104001705   
0601GLA0N       20220101001450100000005000 0000000104001707   
0601GLA0N       20220101001455100000005000 0000000104001710   
0601GLA0N       20220101001460100000005000 0000000104001713   
0601GLA0N       20220101001465100000005000 0000000104001717   
0601GLA0N       20220101001470100000005000 0000000104001720   
0601GLA0N       20220101001475100000005000 0000000104001723   
0601GLA0N       20220101001480100000005000 0000000104001727   
0601GLA0N       20220101001485100000005000 0000000104001730   
0601GLA0N       20220101001490100000005000 0000000104001733   
0601GLA0N       20220101001495100000005000 0000000104001738   
0601GLA0N       20220101001500100000005000 0000000104001740   
0601GLA0N       20220101001505100000005000 0000000104001743   
0601GLA0N       20220101001510100000005000 0000000104001748   
0601GLA0N       20220101001515100000005000 0000000104001751   
0601GLA0N       20220101001520100000005000 0000000104001754   
0601GLA0N       20220101001525100000005000 0000000104001758   
0601GLA0N       20220101001530100000005000 0000000104001761   
0601GLA0N       20220101001535100000005000 0000000104001764   
0601GLA0N       20220101001540100000005000 0000000104001769   
0601GLA0N       20220101001545100000005000 0000000104001771   
0601GLA0N       20220101001550100000005000 0000000104001774   
0601GLA0N       20220101001555100000005000 0000000104001778   
0601GLA0N       20220101001560100000005000 0000000104001781   
0601GLA0N       20220101001565100000005000 0000000104001784   
0601GLA0N       20220101001570100000005000 0000000104001788   
0601GLA0N       20220101001575100000005000 0000000104001791   
0601GLA0N       20220101001580100000005000 0000000104001794   
0601GLA0N       20220101001585100000005000 0000000104001798   
0601GLA0N       20220101001590100000005000 0000000104001801   
0601GLA0N       20220101001595100000005000 0000000104001803   
0601GLA0N       20220101001600100000005000 0000000104001806   
0601GLA0N       20220101001605100000005000 0000000104001810   
