00LU               20211201                                                                                   
0601LUA0N       20220101000000100000120000 0000000130000000   
0601LUA0N       20220101000120100000005000 0000000130000106   
0601LUA0N       20220101000125100000005000 0000000130000102   
0601LUA0N       20220101000130100000005000 0000000130000098   
0601LUA0N       20220101000135100000005000 0000000130000095   
0601LUA0N       20220101000140100000005000 0000000130000091   
0601LUA0N       20220101000145100000005000 0000000130000088   
0601LUA0N       20220101000150100000005000 0000000130000085   
0601LUA0N       20220101000155100000005000 0000000130000083   
0601LUA0N       20220101000160100000005000 0000000130000086   
0601LUA0N       20220101000165100000005000 0000000130000090   
0601LUA0N       20220101000170100000005000 0000000130000093   
0601LUA0N       20220101000175100000005000 0000000130000096   
0601LUA0N       20220101000180100000005000 0000000130000099   
0601LUA0N       20220101000185100000005000 0000000130000107   
0601LUA0N       20220101000190100000005000 0000000130000109   
0601LUA0N       20220101000195100000005000 0000000130000116   
0601LUA0N       20220101000200100000005000 0000000130000119   
0601LUA0N       20220101000205100000005000 0000000130000130   
0601LUA0N       20220101000210100000005000 0000000130000141   
0601LUA0N       20220101000215100000005000 0000000130000156   
0601LUA0N       20220101000220100000005000 0000000130000175   
0601LUA0N       20220101000225100000005000 0000000130000193   
0601LUA0N       20220101000230100000005000 0000000130000215   
0601LUA0N       20220101000235100000005000 0000000130000236   
0601LUA0N       20220101000240100000005000 0000000130000256   
0601LUA0N       20220101000245100000005000 0000000130000279   
0601LUA0N       20220101000250100000005000 0000000130000297   
0601LUA0N       20220101000255100000005000 0000000130000318   
0601LUA0N       20220101000260100000005000 0000000130000339   
0601LUA0N       20220101000265100000005000 0000000130000359   
0601LUA0N       20220101000270100000005000 0000000130000382   
0601LUA0N       20220101000275100000005000 0000000130000400   
0601LUA0N       20220101000280100000005000 0000000130000418   
0601LUA0N       20220101000285100000005000 0000000130000435   
0601LUA0N       20220101000290100000005000 0000000130000451   
0601LUA0N       20220101000295100000005000 0000000130000467   
0601LUA0N       20220101000300100000005000 0000000130000486   
0601LUA0N       20220101000305100000005000 0000000130000504   
0601LUA0N       20220101000310100000005000 0000000130000518   
0601LUA0N       20220101000315100000005000 0000000130000535   
0601LUA0N       20220101000320100000005000 0000000130000552   
0601LUA0N       20220101000325100000005000 0000000130000565   
0601LUA0N       20220101000330100000005000 0000000130000580   
0601LUA0N       20220101000335100000005000 0000000130000596   
0601LUA0N       20220101000340100000005000 0000000130000610   
0601LUA0N       20220101000345100000005000 0000000130000622   
0601LUA0N       20220101000350100000005000 0000000130000635   
0601LUA0N       20220101000355100000005000 0000000130000649   
0601LUA0N       20220101000360100000005000 0000000130000659   
0601LUA0N       20220101000365100000005000 0000000130000672   
0601LUA0N       20220101000370100000005000 0000000130000685   
0601LUA0N       20220101000375100000005000 0000000130000694   
0601LUA0N       20220101000380100000005000 0000000130000711   
0601LUA0N       20220101000385100000005000 0000000130000723   
0601LUA0N       20220101000390100000005000 0000000130000731   
0601LUA0N       20220101000395100000005000 0000000130000742   
0601LUA0N       20220101000400100000005000 0000000130000753   
0601LUA0N       20220101000405100000005000 0000000130000761   
0601LUA0N       20220101000410100000005000 0000000130000771   
0601LUA0N       20220101000415100000005000 0000000130000781   
0601LUA0N       20220101000420100000005000 0000000130000791   
0601LUA0N       20220101000425100000005000 0000000130000798   
0601LUA0N       20220101000430100000005000 0000000130000807   
0601LUA0N       20220101000435100000005000 0000000130000816   
0601LUA0N       20220101000440100000005000 0000000130000825   
0601LUA0N       20220101000445100000005000 0000000130000831   
0601LUA0N       20220101000450100000005000 0000000130000840   
0601LUA0N       20220101000455100000005000 0000000130000848   
0601LUA0N       20220101000460100000005000 0000000130000856   
0601LUA0N       20220101000465100000005000 0000000130000862   
0601LUA0N       20220101000470100000005000 0000000130000872   
0601LUA0N       20220101000475100000005000 0000000130000880   
0601LUA0N       20220101000480100000005000 0000000130000889   
0601LUA0N       20220101000485100000005000 0000000130000896   
0601LUA0N       20220101000490100000005000 0000000130000908   
0601LUA0N       20220101000495100000005000 0000000130000917   
0601LUA0N       20220101000500100000005000 0000000130000923   
0601LUA0N       20220101000505100000005000 0000000130000932   
0601LUA0N       20220101000510100000005000 0000000130000939   
0601LUA0N       20220101000515100000005000 0000000130000947   
0601LUA0N       20220101000520100000005000 0000000130000953   
0601LUA0N       20220101000525100000005000 0000000130000961   
0601LUA0N       20220101000530100000005000 0000000130000967   
0601LUA0N       20220101000535100000005000 0000000130000975   
0601LUA0N       20220101000540100000005000 0000000130000982   
0601LUA0N       20220101000545100000005000 0000000130000988   
0601LUA0N       20220101000550100000005000 0000000130000995   
0601LUA0N       20220101000555100000005000 0000000130001001   
0601LUA0N       20220101000560100000005000 0000000130001006   
0601LUA0N       20220101000565100000005000 0000000130001013   
0601LUA0N       20220101000570100000005000 0000000130001018   
0601LUA0N       20220101000575100000005000 0000000130001025   
0601LUA0N       20220101000580100000005000 0000000130001028   
0601LUA0N       20220101000585100000005000 0000000130001033   
0601LUA0N       20220101000590100000005000 0000000130001040   
0601LUA0N       20220101000595100000005000 0000000130001044   
0601LUA0N       20220101000600100000005000 0000000130001051   
0601LUA0N       20220101000605100000005000 0000000130001057   
0601LUA0N       20220101000610100000005000 0000000130001061   
0601LUA0N       20220101000615100000005000 0000000130001064   
0601LUA0N       20220101000620100000005000 0000000130001070   
0601LUA0N       20220101000625100000005000 0000000130001076   
0601LUA0N       20220101000630100000005000 0000000130001080   
0601LUA0N       20220101000635100000005000 0000000130001085   
0601LUA0N       20220101000640100000005000 0000000130001089   
