00OW               20211111                                                                                   
0601OWA0N       20220101000000100000040000 0000000030000000   
0601OWA0N       20220101000040100000005000 0000000030000071   
0601OWA0N       20220101000045100000005000 0000000030000063   
0601OWA0N       20220101000050100000005000 0000000030000057   
0601OWA0N       20220101000055100000005000 0000000030000052   
0601OWA0N       20220101000060100000005000 0000000030000048   
0601OWA0N       20220101000065100000005000 0000000030000044   
0601OWA0N       20220101000070100000005000 0000000030000041   
0601OWA0N       20220101000075100000005000 0000000030000039   
0601OWA0N       20220101000080100000005000 0000000030000036   
0601OWA0N       20220101000085100000005000 0000000030000034   
0601OWA0N       20220101000090100000005000 0000000030000032   
0601OWA0N       20220101000095100000005000 0000000030000031   
0601OWA0N       20220101000100100000005000 0000000030000029   
0601OWA0N       20220101000105100000005000 0000000030000028   
0601OWA0N       20220101000110100000005000 0000000030000027   
0601OWA0N       20220101000115100000005000 0000000030000026   
0601OWA0N       20220101000120100000005000 0000000030000024   
0601OWA0N       20220101000125100000005000 0000000030000024   
0601OWA0N       20220101000130100000005000 0000000030000023   
0601OWA0N       20220101000135100000005000 0000000030000022   
0601OWA0N       20220101000140100000005000 0000000030000021   
0601OWA0N       20220101000145100000005000 0000000030000020   
0601OWA0N       20220101000150100000005000 0000000030000020   
0601OWA0N       20220101000155100000005000 0000000030000019   
0601OWA0N       20220101000160100000005000 0000000030000018   
0601OWA0N       20220101000165100000005000 0000000030000018   
0601OWA0N       20220101000170100000005000 0000000030000017   
0601OWA0N       20220101000175100000005000 0000000030000017   
0601OWA0N       20220101000180100000005000 0000000030000016   
0601OWA0N       20220101000185100000005000 0000000030000016   
0601OWA0N       20220101000190100000005000 0000000030000016   
0601OWA0N       20220101000195100000005000 0000000030000015   
0601OWA0N       20220101000200100000005000 0000000030000030   
0601OWA0N       20220101000205100000005000 0000000030000058   
0601OWA0N       20220101000210100000005000 0000000030000085   
0601OWA0N       20220101000215100000005000 0000000030000110   
0601OWA0N       20220101000220100000005000 0000000030000130   
0601OWA0N       20220101000225100000005000 0000000030000167   
0601OWA0N       20220101000230100000005000 0000000030000189   
0601OWA0N       20220101000235100000005000 0000000030000215   
0601OWA0N       20220101000240100000005000 0000000030000235   
0601OWA0N       20220101000245100000005000 0000000030000255   
0601OWA0N       20220101000250100000005000 0000000030000273   
0601OWA0N       20220101000255100000005000 0000000030000299   
0601OWA0N       20220101000260100000005000 0000000030000316   
0601OWA0N       20220101000265100000005000 0000000030000333   
0601OWA0N       20220101000270100000005000 0000000030000352   
0601OWA0N       20220101000275100000005000 0000000030000368   
0601OWA0N       20220101000280100000005000 0000000030000386   
0601OWA0N       20220101000285100000005000 0000000030000403   
0601OWA0N       20220101000290100000005000 0000000030000417   
0601OWA0N       20220101000295100000005000 0000000030000430   
0601OWA0N       20220101000300100000005000 0000000030000443   
0601OWA0N       20220101000305100000005000 0000000030000459   
0601OWA0N       20220101000310100000005000 0000000030000474   
0601OWA0N       20220101000315100000005000 0000000030000485   
0601OWA0N       20220101000320100000005000 0000000030000496   
0601OWA0N       20220101000325100000005000 0000000030000510   
0601OWA0N       20220101000330100000005000 0000000030000520   
0601OWA0N       20220101000335100000005000 0000000030000530   
0601OWA0N       20220101000340100000005000 0000000030000546   
0601OWA0N       20220101000345100000005000 0000000030000555   
0601OWA0N       20220101000350100000005000 0000000030000565   
0601OWA0N       20220101000355100000005000 0000000030000573   
0601OWA0N       20220101000360100000005000 0000000030000585   
0601OWA0N       20220101000365100000005000 0000000030000593   
0601OWA0N       20220101000370100000005000 0000000030000604   
0601OWA0N       20220101000375100000005000 0000000030000615   
0601OWA0N       20220101000380100000005000 0000000030000622   
0601OWA0N       20220101000385100000005000 0000000030000630   
0601OWA0N       20220101000390100000005000 0000000030000639   
0601OWA0N       20220101000395100000005000 0000000030000649   
0601OWA0N       20220101000400100000005000 0000000030000656   
0601OWA0N       20220101000405100000005000 0000000030000665   
0601OWA0N       20220101000410100000005000 0000000030000672   
0601OWA0N       20220101000415100000005000 0000000030000678   
0601OWA0N       20220101000420100000005000 0000000030000684   
0601OWA0N       20220101000425100000005000 0000000030000695   
0601OWA0N       20220101000430100000005000 0000000030000701   
0601OWA0N       20220101000435100000005000 0000000030000711   
0601OWA0N       20220101000440100000005000 0000000030000719   
0601OWA0N       20220101000445100000005000 0000000030000724   
0601OWA0N       20220101000450100000005000 0000000030000734   
0601OWA0N       20220101000455100000005000 0000000030000741   
0601OWA0N       20220101000460100000005000 0000000030000750   
0601OWA0N       20220101000465100000005000 0000000030000755   
0601OWA0N       20220101000470100000005000 0000000030000764   
0601OWA0N       20220101000475100000005000 0000000030000775   
0601OWA0N       20220101000480100000005000 0000000030000783   
0601OWA0N       20220101000485100000005000 0000000030000790   
0601OWA0N       20220101000490100000005000 0000000030000798   
0601OWA0N       20220101000495100000005000 0000000030000806   
0601OWA0N       20220101000500100000005000 0000000030000816   
0601OWA0N       20220101000505100000005000 0000000030000822   
0601OWA0N       20220101000510100000005000 0000000030000829   
0601OWA0N       20220101000515100000005000 0000000030000837   
0601OWA0N       20220101000520100000005000 0000000030000844   
0601OWA0N       20220101000525100000005000 0000000030000851   
0601OWA0N       20220101000530100000005000 0000000030000858   
0601OWA0N       20220101000535100000005000 0000000030000865   
0601OWA0N       20220101000540100000005000 0000000030000872   
0601OWA0N       20220101000545100000005000 0000000030000877   
0601OWA0N       20220101000550100000005000 0000000030000885   
0601OWA0N       20220101000555100000005000 0000000030000891   
0601OWA0N       20220101000560100000005000 0000000030000898   
0601OWA0N       20220101000565100000005000 0000000030000902   
0601OWA0N       20220101000570100000005000 0000000030000908   
0601OWA0N       20220101000575100000005000 0000000030000913   
0601OWA0N       20220101000580100000005000 0000000030000917   
0601OWA0N       20220101000585100000005000 0000000030000924   
0601OWA0N       20220101000590100000005000 0000000030000928   
0601OWA0N       20220101000595100000005000 0000000030000932   
0601OWA0N       20220101000600100000005000 0000000030000936   
0601OWA0N       20220101000605100000005000 0000000030000940   
0601OWA0N       20220101000610100000005000 0000000030000945   
0601OWA0N       20220101000615100000005000 0000000030000949   
0601OWA0N       20220101000620100000005000 0000000030000954   
0601OWA0N       20220101000625100000005000 0000000030000958   
0601OWA0N       20220101000630100000005000 0000000030000963   
0601OWA0N       20220101000635100000005000 0000000030000966   
0601OWA0N       20220101000640100000005000 0000000030000970   
0601OWA0N       20220101000645100000005000 0000000030000975   
0601OWA0N       20220101000650100000005000 0000000030000978   
0601OWA0N       20220101000655100000005000 0000000030000983   
0601OWA0N       20220101000660100000005000 0000000030000986   
0601OWA0N       20220101000665100000005000 0000000030000989   
0601OWA0N       20220101000670100000005000 0000000030000993   
0601OWA0N       20220101000675100000005000 0000000030000998   
0601OWA0N       20220101000680100000005000 0000000030001001   
0601OWA0N       20220101000685100000005000 0000000030001004   
0601OWA0N       20220101000690100000005000 0000000030001006   
0601OWA0N       20220101000695100000005000 0000000030001012   
0601OWA0N       20220101000700100000005000 0000000030001015   
0601OWA0N       20220101000705100000005000 0000000030001018   
0601OWA0N       20220101000710100000005000 0000000030001022   
0601OWA0N       20220101000715100000005000 0000000030001024   
0601OWA0N       20220101000720100000005000 0000000030001028   
0601OWA0N       20220101000725100000005000 0000000030001031   
0601OWA0N       20220101000730100000005000 0000000030001033   
0601OWA0N       20220101000735100000005000 0000000030001037   
0601OWA0N       20220101000740100000005000 0000000030001041   
0601OWA0N       20220101000745100000005000 0000000030001043   
0601OWA0N       20220101000750100000005000 0000000030001046   
0601OWA0N       20220101000755100000005000 0000000030001048   
0601OWA0N       20220101000760100000005000 0000000030001052   
0601OWA0N       20220101000765100000005000 0000000030001055   
0601OWA0N       20220101000770100000005000 0000000030001058   
0601OWA0N       20220101000775100000005000 0000000030001061   
0601OWA0N       20220101000780100000005000 0000000030001065   
0601OWA0N       20220101000785100000005000 0000000030001070   
0601OWA0N       20220101000790100000005000 0000000030001074   
0601OWA0N       20220101000795100000005000 0000000030001078   
0601OWA0N       20220101000800100000005000 0000000030001082   
0601OWA0N       20220101000805100000005000 0000000030001086   
0601OWA0N       20220101000810100000005000 0000000030001090   
0601OWA0N       20220101000815100000005000 0000000030001095   
0601OWA0N       20220101000820100000005000 0000000030001098   
0601OWA0N       20220101000825100000005000 0000000030001102   
0601OWA0N       20220101000830100000005000 0000000030001108   
0601OWA0N       20220101000835100000005000 0000000030001110   
0601OWA0N       20220101000840100000005000 0000000030001115   
0601OWA0N       20220101000845100000005000 0000000030001119   
0601OWA0N       20220101000850100000005000 0000000030001123   
0601OWA0N       20220101000855100000005000 0000000030001127   
0601OWA0N       20220101000860100000005000 0000000030001130   
0601OWA0N       20220101000865100000005000 0000000030001133   
0601OWA0N       20220101000870100000005000 0000000030001137   
0601OWA0N       20220101000875100000005000 0000000030001142   
0601OWA0N       20220101000880100000005000 0000000030001146   
0601OWA0N       20220101000885100000005000 0000000030001148   
0601OWA0N       20220101000890100000005000 0000000030001152   
0601OWA0N       20220101000895100000005000 0000000030001157   
0601OWA0N       20220101000900100000005000 0000000030001160   
0601OWA0N       20220101000905100000005000 0000000030001163   
0601OWA0N       20220101000910100000005000 0000000030001166   
0601OWA0N       20220101000915100000005000 0000000030001169   
0601OWA0N       20220101000920100000005000 0000000030001173   
0601OWA0N       20220101000925100000005000 0000000030001177   
0601OWA0N       20220101000930100000005000 0000000030001180   
0601OWA0N       20220101000935100000005000 0000000030001183   
0601OWA0N       20220101000940100000005000 0000000030001187   
0601OWA0N       20220101000945100000005000 0000000030001191   
0601OWA0N       20220101000950100000005000 0000000030001193   
0601OWA0N       20220101000955100000005000 0000000030001196   
0601OWA0N       20220101000960100000005000 0000000030001200   
0601OWA0N       20220101000965100000005000 0000000030001202   
0601OWA0N       20220101000970100000005000 0000000030001205   
0601OWA0N       20220101000975100000005000 0000000030001208   
0601OWA0N       20220101000980100000005000 0000000030001210   
0601OWA0N       20220101000985100000005000 0000000030001214   
0601OWA0N       20220101000990100000005000 0000000030001217   
0601OWA0N       20220101000995100000005000 0000000030001220   
0601OWA0N       20220101001000100000005000 0000000030001222   
0601OWA0N       20220101001005100000005000 0000000030001226   
0601OWA0N       20220101001010100000005000 0000000030001229   
0601OWA0N       20220101001015100000005000 0000000030001231   
0601OWA0N       20220101001020100000005000 0000000030001233   
0601OWA0N       20220101001025100000005000 0000000030001236   
0601OWA0N       20220101001030100000005000 0000000030001240   
0601OWA0N       20220101001035100000005000 0000000030001242   
0601OWA0N       20220101001040100000005000 0000000030001245   
0601OWA0N       20220101001045100000005000 0000000030001247   
0601OWA0N       20220101001050100000005000 0000000030001250   
0601OWA0N       20220101001055100000005000 0000000030001253   
0601OWA0N       20220101001060100000005000 0000000030001256   
0601OWA0N       20220101001065100000005000 0000000030001257   
0601OWA0N       20220101001070100000005000 0000000030001260   
0601OWA0N       20220101001075100000005000 0000000030001263   
0601OWA0N       20220101001080100000005000 0000000030001265   
0601OWA0N       20220101001085100000005000 0000000030001268   
0601OWA0N       20220101001090100000005000 0000000030001271   
0601OWA0N       20220101001095100000005000 0000000030001275   
0601OWA0N       20220101001100100000005000 0000000030001278   
0601OWA0N       20220101001105100000005000 0000000030001281   
0601OWA0N       20220101001110100000005000 0000000030001284   
0601OWA0N       20220101001115100000005000 0000000030001289   
0601OWA0N       20220101001120100000005000 0000000030001291   
0601OWA0N       20220101001125100000005000 0000000030001294   
0601OWA0N       20220101001130100000005000 0000000030001296   
0601OWA0N       20220101001135100000005000 0000000030001299   
0601OWA0N       20220101001140100000005000 0000000030001304   
0601OWA0N       20220101001145100000005000 0000000030001306   
0601OWA0N       20220101001150100000005000 0000000030001309   
0601OWA0N       20220101001155100000005000 0000000030001311   
0601OWA0N       20220101001160100000005000 0000000030001316   
0601OWA0N       20220101001165100000005000 0000000030001318   
0601OWA0N       20220101001170100000005000 0000000030001321   
0601OWA0N       20220101001175100000005000 0000000030001324   
0601OWA0N       20220101001180100000005000 0000000030001326   
0601OWA0N       20220101001185100000005000 0000000030001331   
0601OWA0N       20220101001190100000005000 0000000030001332   
