00SG               20211210                                                                                   
0601SGA0N       20220101000000100000005000 0000000050002000   
0601SGA0N       20220101000005100000005000 0000000050000667   
0601SGA0N       20220101000010100000005000 0000000050000400   
0601SGA0N       20220101000015100000005000 0000000050000286   
0601SGA0N       20220101000020100000005000 0000000050000222   
0601SGA0N       20220101000025100000005000 0000000050000182   
0601SGA0N       20220101000030100000005000 0000000050000154   
0601SGA0N       20220101000035100000005000 0000000050000133   
0601SGA0N       20220101000040100000005000 0000000050000118   
0601SGA0N       20220101000045100000005000 0000000050000105   
0601SGA0N       20220101000050100000005000 0000000050000095   
0601SGA0N       20220101000055100000005000 0000000050000087   
0601SGA0N       20220101000060100000005000 0000000050000080   
0601SGA0N       20220101000065100000005000 0000000050000074   
0601SGA0N       20220101000070100000005000 0000000050000069   
0601SGA0N       20220101000075100000005000 0000000050000065   
0601SGA0N       20220101000080100000005000 0000000050000061   
0601SGA0N       20220101000085100000005000 0000000050000057   
0601SGA0N       20220101000090100000005000 0000000050000054   
0601SGA0N       20220101000095100000005000 0000000050000051   
0601SGA0N       20220101000100100000005000 0000000050000049   
0601SGA0N       20220101000105100000005000 0000000050000047   
0601SGA0N       20220101000110100000005000 0000000050000044   
0601SGA0N       20220101000115100000005000 0000000050000043   
0601SGA0N       20220101000120100000005000 0000000050000041   
0601SGA0N       20220101000125100000005000 0000000050000039   
0601SGA0N       20220101000130100000005000 0000000050000038   
0601SGA0N       20220101000135100000005000 0000000050000036   
0601SGA0N       20220101000140100000005000 0000000050000035   
0601SGA0N       20220101000145100000005000 0000000050000034   
0601SGA0N       20220101000150100000005000 0000000050000033   
0601SGA0N       20220101000155100000005000 0000000050000032   
0601SGA0N       20220101000160100000005000 0000000050000031   
0601SGA0N       20220101000165100000005000 0000000050000050   
0601SGA0N       20220101000170100000005000 0000000050000071   
0601SGA0N       20220101000175100000005000 0000000050000090   
0601SGA0N       20220101000180100000005000 0000000050000108   
0601SGA0N       20220101000185100000005000 0000000050000125   
0601SGA0N       20220101000190100000005000 0000000050000141   
0601SGA0N       20220101000195100000005000 0000000050000156   
0601SGA0N       20220101000200100000005000 0000000050000177   
0601SGA0N       20220101000205100000005000 0000000050000200   
0601SGA0N       20220101000210100000005000 0000000050000223   
0601SGA0N       20220101000215100000005000 0000000050000246   
0601SGA0N       20220101000220100000005000 0000000050000267   
0601SGA0N       20220101000225100000005000 0000000050000287   
0601SGA0N       20220101000230100000005000 0000000050000307   
0601SGA0N       20220101000235100000005000 0000000050000335   
0601SGA0N       20220101000240100000005000 0000000050000354   
0601SGA0N       20220101000245100000005000 0000000050000372   
0601SGA0N       20220101000250100000005000 0000000050000390   
0601SGA0N       20220101000255100000005000 0000000050000407   
0601SGA0N       20220101000260100000005000 0000000050000423   
0601SGA0N       20220101000265100000005000 0000000050000439   
0601SGA0N       20220101000270100000005000 0000000050000458   
0601SGA0N       20220101000275100000005000 0000000050000473   
0601SGA0N       20220101000280100000005000 0000000050000487   
0601SGA0N       20220101000285100000005000 0000000050000500   
0601SGA0N       20220101000290100000005000 0000000050000513   
0601SGA0N       20220101000295100000005000 0000000050000526   
0601SGA0N       20220101000300100000005000 0000000050000538   
0601SGA0N       20220101000305100000005000 0000000050000549   
0601SGA0N       20220101000310100000005000 0000000050000561   
0601SGA0N       20220101000315100000005000 0000000050000572   
0601SGA0N       20220101000320100000005000 0000000050000582   
0601SGA0N       20220101000325100000005000 0000000050000593   
0601SGA0N       20220101000330100000005000 0000000050000603   
0601SGA0N       20220101000335100000005000 0000000050000612   
0601SGA0N       20220101000340100000005000 0000000050000622   
0601SGA0N       20220101000345100000005000 0000000050000631   
0601SGA0N       20220101000350100000005000 0000000050000640   
0601SGA0N       20220101000355100000005000 0000000050000649   
0601SGA0N       20220101000360100000005000 0000000050000657   
0601SGA0N       20220101000365100000005000 0000000050000665   
0601SGA0N       20220101000370100000005000 0000000050000677   
0601SGA0N       20220101000375100000005000 0000000050000691   
0601SGA0N       20220101000380100000005000 0000000050000708   
0601SGA0N       20220101000385100000005000 0000000050000720   
0601SGA0N       20220101000390100000005000 0000000050000732   
0601SGA0N       20220101000395100000005000 0000000050000744   
0601SGA0N       20220101000400100000005000 0000000050000755   
0601SGA0N       20220101000405100000005000 0000000050000767   
0601SGA0N       20220101000410100000005000 0000000050000777   
0601SGA0N       20220101000415100000005000 0000000050000788   
0601SGA0N       20220101000420100000005000 0000000050000798   
0601SGA0N       20220101000425100000005000 0000000050000809   
0601SGA0N       20220101000430100000005000 0000000050000819   
0601SGA0N       20220101000435100000005000 0000000050000828   
0601SGA0N       20220101000440100000005000 0000000050000838   
0601SGA0N       20220101000445100000005000 0000000050000847   
0601SGA0N       20220101000450100000005000 0000000050000856   
0601SGA0N       20220101000455100000005000 0000000050000865   
0601SGA0N       20220101000460100000005000 0000000050000874   
0601SGA0N       20220101000465100000005000 0000000050000882   
0601SGA0N       20220101000470100000005000 0000000050000891   
0601SGA0N       20220101000475100000005000 0000000050000901   
0601SGA0N       20220101000480100000005000 0000000050000911   
0601SGA0N       20220101000485100000005000 0000000050000920   
0601SGA0N       20220101000490100000005000 0000000050000932   
0601SGA0N       20220101000495100000005000 0000000050000941   
0601SGA0N       20220101000500100000005000 0000000050000950   
0601SGA0N       20220101000505100000005000 0000000050000959   
0601SGA0N       20220101000510100000005000 0000000050000967   
0601SGA0N       20220101000515100000005000 0000000050000975   
0601SGA0N       20220101000520100000005000 0000000050000984   
0601SGA0N       20220101000525100000005000 0000000050000992   
0601SGA0N       20220101000530100000005000 0000000050000999   
0601SGA0N       20220101000535100000005000 0000000050001007   
0601SGA0N       20220101000540100000005000 0000000050001015   
0601SGA0N       20220101000545100000005000 0000000050001022   
0601SGA0N       20220101000550100000005000 0000000050001029   
0601SGA0N       20220101000555100000005000 0000000050001036   
0601SGA0N       20220101000560100000005000 0000000050001043   
0601SGA0N       20220101000565100000005000 0000000050001050   
0601SGA0N       20220101000570100000005000 0000000050001057   
0601SGA0N       20220101000575100000005000 0000000050001063   
0601SGA0N       20220101000580100000005000 0000000050001070   
0601SGA0N       20220101000585100000005000 0000000050001076   
0601SGA0N       20220101000590100000005000 0000000050001082   
0601SGA0N       20220101000595100000005000 0000000050001088   
0601SGA0N       20220101000600100000005000 0000000050001097   
0601SGA0N       20220101000605100000005000 0000000050001103   
0601SGA0N       20220101000610100000005000 0000000050001109   
0601SGA0N       20220101000615100000005000 0000000050001116   
0601SGA0N       20220101000620100000005000 0000000050001124   
0601SGA0N       20220101000625100000005000 0000000050001132   
0601SGA0N       20220101000630100000005000 0000000050001139   
0601SGA0N       20220101000635100000005000 0000000050001145   
0601SGA0N       20220101000640100000005000 0000000050001152   
0601SGA0N       20220101000645100000005000 0000000050001158   
0601SGA0N       20220101000650100000005000 0000000050001164   
0601SGA0N       20220101000655100000005000 0000000050001170   
