00VD               20220112                                                                                   
0601VDA0N       20220101000000100000235000 0000000000000000   
0601VDA0N       20220101000235100000005000 0000000000000009   
0601VDA0N       20220101000240100000005000 0000000000000011   
0601VDA0N       20220101000245100000005000 0000000000000020   
0601VDA0N       20220101000250100000005000 0000000000000028   
0601VDA0N       20220101000255100000005000 0000000000000042   
0601VDA0N       20220101000260100000005000 0000000000000056   
0601VDA0N       20220101000265100000005000 0000000000000071   
0601VDA0N       20220101000270100000005000 0000000000000090   
0601VDA0N       20220101000275100000005000 0000000000000114   
0601VDA0N       20220101000280100000005000 0000000000000131   
0601VDA0N       20220101000285100000005000 0000000000000151   
0601VDA0N       20220101000290100000005000 0000000000000169   
0601VDA0N       20220101000295100000005000 0000000000000193   
0601VDA0N       20220101000300100000005000 0000000000000219   
0601VDA0N       20220101000305100000005000 0000000000000238   
0601VDA0N       20220101000310100000005000 0000000000000261   
0601VDA0N       20220101000315100000005000 0000000000000282   
0601VDA0N       20220101000320100000005000 0000000000000311   
0601VDA0N       20220101000325100000005000 0000000000000335   
0601VDA0N       20220101000330100000005000 0000000000000355   
0601VDA0N       20220101000335100000005000 0000000000000383   
0601VDA0N       20220101000340100000005000 0000000000000405   
0601VDA0N       20220101000345100000005000 0000000000000435   
0601VDA0N       20220101000350100000005000 0000000000000460   
0601VDA0N       20220101000355100000005000 0000000000000480   
0601VDA0N       20220101000360100000005000 0000000000000504   
0601VDA0N       20220101000365100000005000 0000000000000530   
0601VDA0N       20220101000370100000005000 0000000000000550   
0601VDA0N       20220101000375100000005000 0000000000000571   
0601VDA0N       20220101000380100000005000 0000000000000589   
0601VDA0N       20220101000385100000005000 0000000000000617   
0601VDA0N       20220101000390100000005000 0000000000000641   
0601VDA0N       20220101000395100000005000 0000000000000661   
0601VDA0N       20220101000400100000005000 0000000000000684   
0601VDA0N       20220101000405100000005000 0000000000000702   
0601VDA0N       20220101000410100000005000 0000000000000728   
0601VDA0N       20220101000415100000005000 0000000000000749   
0601VDA0N       20220101000420100000005000 0000000000000767   
0601VDA0N       20220101000425100000005000 0000000000000787   
0601VDA0N       20220101000430100000005000 0000000000000810   
0601VDA0N       20220101000435100000005000 0000000000000826   
0601VDA0N       20220101000440100000005000 0000000000000846   
0601VDA0N       20220101000445100000005000 0000000000000860   
0601VDA0N       20220101000450100000005000 0000000000000878   
0601VDA0N       20220101000455100000005000 0000000000000900   
0601VDA0N       20220101000460100000005000 0000000000000913   
0601VDA0N       20220101000465100000005000 0000000000000931   
0601VDA0N       20220101000470100000005000 0000000000000945   
0601VDA0N       20220101000475100000005000 0000000000000966   
0601VDA0N       20220101000480100000005000 0000000000000984   
0601VDA0N       20220101000485100000005000 0000000000001000   
0601VDA0N       20220101000490100000005000 0000000000001020   
0601VDA0N       20220101000495100000005000 0000000000001035   
0601VDA0N       20220101000500100000005000 0000000000001058   
0601VDA0N       20220101000505100000005000 0000000000001077   
0601VDA0N       20220101000510100000005000 0000000000001093   
0601VDA0N       20220101000515100000005000 0000000000001110   
0601VDA0N       20220101000520100000005000 0000000000001131   
0601VDA0N       20220101000525100000005000 0000000000001146   
0601VDA0N       20220101000530100000005000 0000000000001162   
0601VDA0N       20220101000535100000005000 0000000000001176   
0601VDA0N       20220101000540100000005000 0000000000001197   
0601VDA0N       20220101000545100000005000 0000000000001209   
0601VDA0N       20220101000550100000005000 0000000000001216   
0601VDA0N       20220101000555100000005000 0000000000001222   
0601VDA0N       20220101000560100000005000 0000000000001228   
0601VDA0N       20220101000565100000005000 0000000000001235   
0601VDA0N       20220101000570100000005000 0000000000001241   
0601VDA0N       20220101000575100000005000 0000000000001247   
0601VDA0N       20220101000580100000005000 0000000000001252   
0601VDA0N       20220101000585100000005000 0000000000001259   
0601VDA0N       20220101000590100000005000 0000000000001264   
0601VDA0N       20220101000595100000005000 0000000000001270   
0601VDA0N       20220101000600100000005000 0000000000001279   
0601VDA0N       20220101000605100000005000 0000000000001284   
0601VDA0N       20220101000610100000005000 0000000000001291   
