Durchschnittlicher Mietpreis1) pro m2 in Franken nach Zimmerzahl und Kanton;;;;;;;;;;;;;T 09.03.03.05;;;;;;;;;;
2013;;;;;;;;;;;;;;;;;;;;;;;
;Bewohnte Mietwohnungen mit … Zimmer(n);;;;;;;;;;;;;;;;;;;;;;
;Total;;1;;2;;3;;4;;5;;6+;;;;;;;;;;
;"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";;;;;;;;;
Schweiz;  16.0 ;0.0 ;  17.6 ;  0.4 ;  17.2 ;  0.1 ;  16.1 ;  0.1 ;  15.5 ;  0.1 ;  15.5 ;  0.1 ;  16.7 ;  0.4 ;;;;;;;;;
Zürich;  18.7 ;  0.1 ;  21.8 ;  1.0 ;  20.1 ;  0.3 ;  18.8 ;  0.2 ;  17.9 ;  0.2 ;  17.9 ;  0.4 ;  19.4 ;  0.9 ;;;;;;;;;
Bern;  14.6 ;  0.1 ;  15.4 ;  1.0 ;  15.5 ;  0.3 ;  14.6 ;  0.2 ;  14.3 ;  0.2 ;  14.0 ;  0.4 ;  14.5 ;  1.0 ;;;;;;;;;
Luzern;  15.2 ;  0.1 ;  18.1 ;  1.3 ;  17.0 ;  0.5 ;  15.5 ;  0.2 ;  14.5 ;  0.2 ;  14.4 ;  0.4 ;  14.8 ;  0.9 ;;;;;;;;;
Uri;  13.2 ;  0.6 ;  (15.9) ;  (4.0) ;  (14.7) ;  (2.2) ;  14.6 ;  1.4 ;  12.6 ;  0.7 ;  (12.3) ;  (1.6) ;  (11.2) ;  (2.0) ;;;;;;;;;
Schwyz;  16.7 ;  0.4 ;  (14.8) ;  (4.5) ;  16.9 ;  1.3 ;  16.9 ;  0.7 ;  16.3 ;  0.5 ;  16.5 ;  1.2 ;  (19.5) ;  (2.2) ;;;;;;;;;
Obwalden;  14.3 ;  0.7 ;  (17.8) ;  (3.1) ;  (15.8) ;  (3.1) ;  15.4 ;  1.4 ;  13.3 ;  0.9 ;  (15.0) ;  (1.4) ;  (11.0) ;  (3.0) ;;;;;;;;;
Nidwalden;  16.0 ;  0.5 ;  (18.8) ;  (5.5) ;  (15.9) ;  (1.6) ;  16.4 ;  1.0 ;  15.6 ;  0.8 ;  16.7 ;  1.6 ;  (14.1) ;  (2.9) ;;;;;;;;;
Glarus;  12.0 ;  0.7 ;  (11.5) ;  (3.7) ;  (11.3) ;  (2.6) ;  13.1 ;  0.9 ;  12.5 ;  0.9 ;  (9.2) ;  (1.4) ;  (11.9) ;  (4.0) ;;;;;;;;;
Zug;  19.2 ;  0.3 ;  22.8 ;  2.4 ;  21.1 ;  1.0 ;  19.1 ;  0.5 ;  18.6 ;  0.4 ;  18.5 ;  0.9 ;  21.2 ;  1.9 ;;;;;;;;;
Freiburg;  14.5 ;  0.2 ;  16.8 ;  2.4 ;  16.0 ;  0.7 ;  14.6 ;  0.4 ;  13.9 ;  0.3 ;  13.6 ;  0.7 ;  14.5 ;  1.2 ;;;;;;;;;
Solothurn;  13.6 ;  0.2 ;  15.0 ;  1.7 ;  14.5 ;  0.7 ;  13.6 ;  0.4 ;  13.3 ;  0.3 ;  13.4 ;  0.7 ;  13.4 ;  1.5 ;;;;;;;;;
Basel-Stadt;  17.0 ;  0.2 ;  17.9 ;  1.1 ;  17.4 ;  0.4 ;  16.7 ;  0.3 ;  16.8 ;  0.4 ;  17.6 ;  1.0 ;  19.2 ;  3.3 ;;;;;;;;;
Basel-Landschaft;  16.5 ;  0.2 ;  14.5 ;  1.8 ;  17.6 ;  0.7 ;  16.5 ;  0.3 ;  16.2 ;  0.3 ;  16.7 ;  0.9 ;  17.3 ;  2.4 ;;;;;;;;;
Schaffhausen;  13.5 ;  0.4 ;  (18.3) ;  (3.9) ;  15.9 ;  1.3 ;  13.3 ;  0.6 ;  13.1 ;  0.6 ;  13.9 ;  1.5 ;  (12.0) ;  (1.5) ;;;;;;;;;
Appenzell A.Rh.;  13.2 ;  0.5 ;  (13.5) ;  (4.2) ;  15.1 ;  1.7 ;  12.9 ;  1.1 ;  13.5 ;  0.7 ;  12.5 ;  1.2 ;  (11.2) ;  (2.8) ;;;;;;;;;
Appenzell I.Rh.;  13.3 ;  1.2 ;  (14.3) ;  (3.7) ;  (16.6) ;  (2.7) ;  (13.7) ;  (2.4) ;  (13.8) ;  (2.1) ;  (11.2) ;  (2.3) ;  (11.0) ;  (2.7) ;;;;;;;;;
St.Gallen;  13.9 ;  0.2 ;  13.6 ;  1.9 ;  15.1 ;  0.5 ;  14.4 ;  0.3 ;  13.5 ;  0.2 ;  13.4 ;  0.4 ;  13.3 ;  0.7 ;;;;;;;;;
Graubünden;  15.3 ;  0.3 ;  15.2 ;  3.0 ;  17.5 ;  1.3 ;  16.1 ;  0.6 ;  14.7 ;  0.4 ;  13.7 ;  0.8 ;  12.9 ;  2.1 ;;;;;;;;;
Aargau;  15.0 ;  0.1 ;  15.7 ;  1.0 ;  16.1 ;  0.4 ;  15.5 ;  0.2 ;  14.6 ;  0.1 ;  13.8 ;  0.3 ;  14.7 ;  0.7 ;;;;;;;;;
Thurgau;  13.2 ;  0.2 ;  14.9 ;  2.8 ;  14.8 ;  0.7 ;  13.5 ;  0.4 ;  13.0 ;  0.3 ;  12.4 ;  0.6 ;  12.1 ;  1.0 ;;;;;;;;;
Tessin;  13.6 ;  0.2 ;  10.9 ;  0.8 ;  13.2 ;  0.4 ;  13.7 ;  0.3 ;  13.8 ;  0.3 ;  15.1 ;  0.8 ;  13.9 ;  1.5 ;;;;;;;;;
Waadt;  16.9 ;  0.1 ;  19.9 ;  0.7 ;  17.9 ;  0.3 ;  16.6 ;  0.2 ;  16.3 ;  0.2 ;  16.3 ;  0.4 ;  17.9 ;  1.1 ;;;;;;;;;
Wallis;  13.6 ;  0.3 ;  14.3 ;  1.8 ;  14.8 ;  0.7 ;  13.7 ;  0.4 ;  13.0 ;  0.4 ;  12.8 ;  0.7 ;  (13.5) ;  (1.6) ;;;;;;;;;
