Durchschnittlicher Mietpreis1) pro m2 in Franken nach Zimmerzahl und Kanton;;;;;;;;;;;;;;T 09.03.03.05;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;
;Bewohnte Mietwohnungen mit … Zimmer(n);;;;;;;;;;;;;;;;;;;;;;
;Total;;1;;2;;3;;4;;5;;6+;;;;;;;;;;
;"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";;;;;;;;;
Schweiz;16.4 ;0.0 ;19.3 ;0.3 ;18.0 ;0.1 ;16.5 ;0.1 ;15.6 ;0.1 ;15.4 ;0.1 ;16.1 ;0.3 ;;;;;;;;;
Zürich;19.2 ;0.1 ;23.2 ;0.9 ;21.5 ;0.3 ;19.3 ;0.2 ;18.1 ;0.2 ;17.8 ;0.3 ;19.1 ;0.9 ;;;;;;;;;
Bern;15.0 ;0.1 ;16.5 ;1.0 ;16.2 ;0.3 ;15.1 ;0.2 ;14.5 ;0.1 ;13.8 ;0.3 ;14.4 ;1.0 ;;;;;;;;;
Luzern;15.5 ;0.1 ;21.1 ;1.3 ;17.4 ;0.4 ;15.9 ;0.2 ;14.7 ;0.1 ;14.4 ;0.3 ;14.2 ;0.8 ;;;;;;;;;
Uri;13.1 ;0.6 ;X   ;*   ;(13.8) ;(1.8) ;13.7 ;0.9 ;13.1 ;0.6 ;(11.8) ;(2.5) ;(11.4) ;(2.1) ;;;;;;;;;
Schwyz;16.6 ;0.3 ;(14.4) ;(2.8) ;17.9 ;1.2 ;17.0 ;0.6 ;16.4 ;0.4 ;15.9 ;0.8 ;(17.0) ;(1.8) ;;;;;;;;;
Obwalden;14.2 ;0.5 ;(13.5) ;(5.1) ;(14.8) ;(2.6) ;14.3 ;1.0 ;13.9 ;0.7 ;14.2 ;1.3 ;(14.4) ;(2.1) ;;;;;;;;;
Nidwalden;15.7 ;0.5 ;(16.7) ;(4.5) ;17.4 ;2.0 ;16.5 ;0.8 ;15.0 ;0.6 ;14.8 ;1.0 ;(14.7) ;(2.0) ;;;;;;;;;
Glarus;12.7 ;0.5 ;(8.8) ;(4.4) ;(14.6) ;(1.9) ;13.0 ;0.8 ;12.7 ;0.6 ;(12.2) ;(1.3) ;(11.2) ;(1.7) ;;;;;;;;;
Zug;19.5 ;0.2 ;22.3 ;3.1 ;21.5 ;0.9 ;20.1 ;0.4 ;18.7 ;0.3 ;18.4 ;0.6 ;19.1 ;1.6 ;;;;;;;;;
Freiburg;14.6 ;0.2 ;17.2 ;1.5 ;16.9 ;0.6 ;14.5 ;0.3 ;14.0 ;0.3 ;13.7 ;0.6 ;12.0 ;1.0 ;;;;;;;;;
Solothurn;13.9 ;0.2 ;16.3 ;2.0 ;15.4 ;0.6 ;13.9 ;0.3 ;13.5 ;0.3 ;12.5 ;0.6 ;14.2 ;1.9 ;;;;;;;;;
Basel-Stadt;18.2 ;0.2 ;20.1 ;1.2 ;19.1 ;0.4 ;17.7 ;0.3 ;17.7 ;0.4 ;18.3 ;0.8 ;(19.4) ;(2.6) ;;;;;;;;;
Basel-Landschaft;16.8 ;0.2 ;16.7 ;2.0 ;18.3 ;0.9 ;17.0 ;0.3 ;16.6 ;0.3 ;15.2 ;0.8 ;16.9 ;1.7 ;;;;;;;;;
Schaffhausen;13.6 ;0.3 ;(13.8) ;(2.5) ;16.0 ;0.9 ;13.4 ;0.5 ;12.9 ;0.5 ;14.7 ;1.0 ;(12.1) ;(1.6) ;;;;;;;;;
Appenzell A.Rh.;12.9 ;0.6 ;(13.6) ;(8.5) ;(11.3) ;(2.2) ;13.4 ;0.9 ;13.3 ;0.8 ;(12.2) ;(1.0) ;(12.8) ;(2.9) ;;;;;;;;;
Appenzell I.Rh.;14.8 ;0.9 ;X   ;*   ;(14.7) ;(2.7) ;(15.7) ;(1.7) ;(15.2) ;(1.6) ;(13.7) ;(1.5) ;(11.4) ;(2.1) ;;;;;;;;;
St.Gallen;14.2 ;0.1 ;16.0 ;1.4 ;15.6 ;0.5 ;14.5 ;0.3 ;13.7 ;0.2 ;13.3 ;0.3 ;13.3 ;0.7 ;;;;;;;;;
Graubünden;15.2 ;0.3 ;16.6 ;1.8 ;17.3 ;1.0 ;15.8 ;0.5 ;14.5 ;0.4 ;13.3 ;0.8 ;(14.3) ;(2.1) ;;;;;;;;;
Aargau;15.2 ;0.1 ;18.1 ;1.3 ;17.2 ;0.4 ;15.5 ;0.2 ;14.5 ;0.2 ;14.4 ;0.4 ;14.0 ;0.9 ;;;;;;;;;
Thurgau;13.6 ;0.2 ;17.4 ;1.9 ;14.3 ;0.7 ;14.0 ;0.3 ;13.3 ;0.3 ;12.3 ;0.5 ;11.8 ;1.0 ;;;;;;;;;
Tessin;13.8 ;0.1 ;12.8 ;0.8 ;13.9 ;0.4 ;13.7 ;0.2 ;13.8 ;0.3 ;13.8 ;0.6 ;14.8 ;1.4 ;;;;;;;;;
Waadt;17.6 ;0.1 ;22.3 ;0.7 ;19.1 ;0.3 ;17.4 ;0.1 ;16.7 ;0.2 ;16.2 ;0.3 ;17.4 ;1.0 ;;;;;;;;;
Wallis;13.9 ;0.2 ;16.6 ;1.6 ;15.0 ;0.6 ;14.0 ;0.3 ;13.2 ;0.3 ;12.4 ;0.7 ;(13.8) ;(1.9) ;;;;;;;;;
Neuenburg;12.6 ;0.1 ;14.5 ;1.2 ;13.0 ;0.4 ;12.3 ;0.2 ;12.4 ;0.2 ;13.0 ;0.5 ;14.7 ;1.6 ;;;;;;;;;
Genf;19.5 ;0.2 ;21.3 ;1.1 ;20.4 ;0.5 ;19.5 ;0.3 ;19.0 ;0.3 ;18.6 ;0.4 ;21.2 ;1.1 ;;;;;;;;;
Jura;11.8 ;0.4 ;(11.2) ;(2.2) ;13.7 ;1.5 ;11.5 ;0.6 ;12.0 ;0.6 ;10.5 ;1.0 ;(13.8) ;(2.2) ;;;;;;;;;
Aufgrund methodischer Änderungen ab dem Jahr 2018 im Bereich der Erhebungsmethode, der Gewichtung sowie der Detektierung von Ausreissern können die Ergebnisse nur bedingt mit den Erhebungen vor 2018 verglichen werden.;;;;;;;;;;;;;;;;;;;;;;;
